Inning,Pitcher,BC,Result,Prev
9회말,김원중,5 (2-2),루킹 삼진,"1사 1,2루 8:7"
8회말,김원중,4 (1-2),선행주자아웃 출루,"1사 1,2루 5:4"
6회초,전미르,5 (1-2),헛스윙 삼진,"2사 2,3루 3:4"
10회말,이로운,2 (1-0),중견수 플라이 아웃,"1사 1,2루 3:3"
2회초,켈리,5 (3-1),1루수 병살타 아웃,"1사 1,2루 0:1"
6회초,최준용,3 (0-2),2루수 땅볼 아웃,1사 3루 5:5
9회말,조병현,9 (3-2),헛스윙 삼진,무사  3:2
2회말,김광현,6 (2-2),헛스윙 삼진,2사 만루 4:1
1회말,김광현,4 (1-2),낫아웃 삼진,2사 만루 2:2
6회초,이지강,3 (1-1),1루수 직선타 아웃,1사 3루 2:1
5회초,김진욱,3 (0-2),헛스윙 삼진,무사 만루 0:4
8회초,최지민,2 (1-0),선행주자아웃 출루,무사 1루 4:4
4회초,최원태,3 (1-1),2루수 병살타 아웃,1사 1루 1:1
4회말,네일,4 (1-2),3루수 땅볼 아웃,"2사 1,2루 2:1"
3회말,김선기,5 (3-1),2루수 병살타 아웃,1사 1루 0:0
8회말,김민,3 (0-2),헛스윙 삼진,"2사 1,3루 4:1"
7회말,반즈,5 (0-2),1루수 땅볼 아웃,무사  4:3
6회초,켈리,5 (1-2),낫아웃 삼진,"2사 1,2루 3:2"
4회말,한승혁,7 (2-2),좌익수 플라이 아웃,1사 2루 5:4
7회초,이민우,5 (2-2),중견수 플라이 아웃,무사  3:4
4회초,산체스,4 (1-2),헛스윙 삼진,"2사 1,2루 0:3"
7회말,문승원,6 (3-2),헛스윙 삼진,무사  3:1
2회말,네일,4 (1-2),낫아웃 삼진,"2사 1,2루 0:1"
3회초,양현종,2 (0-1),2루수 땅볼 아웃,1사 2루 1:1
1회초,양현종,4 (1-2),우익수 플라이 아웃,무사 1루 0:0
4회말,바리아,3 (1-1),2루수 땅볼 아웃,무사  4:3
5회초,양현종,2 (0-1),우익수 플라이 아웃,무사  3:3
3회말,류현진,3 (0-2),헛스윙 삼진,무사 1루 4:0
2회말,바리아,3 (0-2),좌익수 플라이 아웃,무사 1루 1:2
6회말,박상원,6 (2-2),헛스윙 삼진,1사  5:4
5회말,홍건희,6 (3-2),헛스윙 삼진,2사 만루 2:5
2회말,엘리아스,3 (0-2),선행주자아웃 출루,1사 1루 3:0
3회말,이재학,1 (0-0),유격수 땅볼 아웃,무사  1:0
7회말,엄상백,4 (0-2),중견수 플라이 아웃,무사  4:1
3회초,김진욱,4 (2-1),중견수 플라이 아웃,1사 1루 0:3
3회말,이인복,6 (3-2),2루수 땅볼 아웃,무사  3:1
5회말,조이현,4 (2-1),포수 파울플라이 아웃,1사 3루 0:3
8회말,한두솔,7 (3-2),좌익수 플라이 아웃,2사  3:3
3회말,후라도,5 (2-2),좌익수 플라이 아웃,2사 1루 2:0
6회초,한승혁,4 (2-1),1루수 땅볼 아웃,1사  2:3
3회말,조이현,1 (0-0),1루수 땅볼 아웃,2사 1루 0:0
5회말,엘리아스,1 (0-0),투수 땅볼 아웃,무사  3:0
8회초,김진성,5 (1-2),루킹 삼진,2사  2:2
