Date,Team,Inning,Pitcher,Batter,BC,Result,Prev,Next,LEV,REs,REa,WPe,WPa
03-23,KT,8회초,손동현,5 강민호,2 (0-1),3루수 병살타 아웃,"무사 1,2루 2:2",2사 3루 2:2,3.22,1.611,-1.220,51.7%,-0.185
05-10,NC,7회초,하트,8 강민호,3 (1-1),유격수 땅볼 아웃,2사 만루 0:1,이닝종료 0:1,5.62,0.952,-0.952,79.1%,-0.142
06-30,KT,9회초,박영현,8 강민호,1 (0-0),유격수 플라이 아웃,"1사 1,2루 1:2","2사 1,2루 1:2",6.11,1.065,-0.572,85.9%,-0.140
07-21,롯데,7회말,한현희,4 강민호,5 (0-2),선행주자아웃 출루,"2사 1,3루 4:3",이닝종료 4:3,3.94,0.523,-0.523,25.2%,-0.109
04-30,두산,6회초,곽빈,6 강민호,3 (1-1),좌익수 플라이 아웃,2사 만루 0:2,이닝종료 0:2,4.17,0.857,-0.857,84.8%,-0.106
04-13,NC,8회말,임정호,7 강민호,2 (0-1),중견수 플라이 아웃,"1사 1,2루 4:2","2사 1,3루 4:2",4.11,0.994,-0.422,16.6%,-0.085
04-19,한화,6회초,페냐,5 강민호,5 (1-2),루킹 삼진,2사 만루 0:3,이닝종료 0:3,3.22,0.909,-0.909,91.4%,-0.082
05-02,두산,6회초,김택연,6 강민호,3 (1-1),3루수 병살타 아웃,무사 1루 2:1,2사  2:1,1.54,1.022,-0.905,38.0%,-0.080
06-16,NC,5회초,김시훈,4 강민호,2 (0-1),중견수 플라이 아웃,"2사 2,3루 2:2",이닝종료 2:2,2.67,0.616,-0.616,56.6%,-0.079
06-06,SSG,4회초,오원석,9 강민호,6 (3-2),루킹 삼진,1사 만루 0:3,2사 만루 0:3,3.01,1.852,-0.942,78.8%,-0.078
04-17,두산,1회말,김호준,5 강민호,2 (1-0),유격수 병살타 아웃,"1사 1,2루 0:1",이닝종료 0:1,1.64,0.966,-0.966,60.5%,-0.074
08-08,한화,1회말,문동주,4 강민호,2 (1-0),3루수 파울플라이 아웃,무사 만루 2:0,1사 만루 2:0,2.49,2.648,-0.691,45.4%,-0.073
03-27,LG,1회초,최원태,6 강민호,4 (1-2),헛스윙 삼진,2사 만루 0:0,이닝종료 0:0,2.82,0.921,-0.921,54.8%,-0.072
07-18,KIA,3회초,알드레드,4 강민호,3 (0-2),1루수 병살타 아웃,무사 1루 3:2,2사  3:2,1.39,1.022,-0.905,42.3%,-0.072
03-31,SSG,11회말,이로운,5 강민호,3 (0-2),우익수 플라이 아웃,1사  4:3,2사  4:3,2.63,0.275,-0.168,4.7%,-0.065
05-28,키움,9회말,주승우,9 강민호,2 (1-0),투수 땅볼 아웃,1사  4:3,2사  4:3,2.63,0.295,-0.178,4.7%,-0.065
03-29,SSG,6회말,김광현,4 강민호,1 (0-0),유격수 병살타 아웃,무사 1루 5:1,2사  5:1,1.35,0.957,-0.850,6.3%,-0.064
05-08,KIA,11회말,정해영,6 강민호,1 (0-0),좌익수 플라이 아웃,2사 1루 2:2,이닝종료 2:2,2.30,0.226,-0.226,50.0%,-0.064
05-08,KIA,7회말,곽도규,6 강민호,2 (0-1),3루수 병살타 아웃,무사 1루 0:1,2사  0:1,1.15,1.022,-0.906,75.8%,-0.061
03-26,LG,9회초,유영찬,8 강민호,5 (1-2),중견수 플라이 아웃,무사  3:3,1사  3:3,2.32,0.529,-0.258,55.9%,-0.059
06-26,LG,9회초,유영찬,7 강민호,6 (1-2),헛스윙 삼진,무사  1:1,1사  1:1,2.32,0.577,-0.274,55.9%,-0.059
04-09,롯데,4회초,나균안,7 강민호,4 (1-2),1루수 인필드플라이 아웃,"1사 1,2루 0:1","2사 1,2루 0:1",2.54,0.970,-0.480,63.3%,-0.058
07-19,롯데,1회말,김진욱,5 강민호,4 (1-2),2루수 땅볼 아웃,"2사 2,3루 0:0",이닝종료 0:0,1.95,0.642,-0.642,50.0%,-0.058
05-08,KIA,10회말,최지민,6 강민호,5 (1-2),2루수 플라이 아웃,무사  2:2,1사  2:2,2.26,0.585,-0.284,58.0%,-0.058
07-19,롯데,4회말,김진욱,5 강민호,6 (1-2),유격수 병살타 아웃,1사 1루 3:0,이닝종료 3:0,1.29,0.569,-0.569,16.0%,-0.054
08-01,LG,6회초,백승현,4 강민호,1 (0-0),우익수 플라이 아웃,2사 만루 2:0,이닝종료 2:0,2.06,0.831,-0.831,25.5%,-0.052
03-27,LG,8회초,김진성,6 강민호,4 (1-2),2루수 땅볼 아웃,무사  2:2,1사  2:2,1.85,0.535,-0.260,54.7%,-0.047
06-15,NC,4회초,하트,5 강민호,2 (1-0),2루수 땅볼 아웃,2사 3루 0:1,이닝종료 0:1,1.67,0.413,-0.413,68.8%,-0.046
