Date,Team,Inning,Pitcher,Batter,BC,Result,Prev,Next,LEV,REs,REa,WPe,WPa
03-31,SSG,10회말,이로운,3 구자욱,5 (2-2),헛스윙 삼진,2사 만루 3:3,이닝종료 3:3,6.39,0.916,-0.916,50.0%,-0.159
05-28,키움,1회말,후라도,3 구자욱,1 (0-0),2루수 병살타 아웃,"무사 1,3루 0:0",2사 3루 0:0,1.54,1.898,-1.465,53.6%,-0.134
06-15,NC,9회초,이용찬,3 구자욱,3 (1-1),좌익수 플라이 아웃,"1사 1,2루 4:4","2사 1,2루 4:4",4.62,1.044,-0.537,52.3%,-0.104
07-14,두산,5회초,이교훈,3 구자욱,3 (1-1),중견수 플라이 아웃,2사 만루 1:1,이닝종료 1:1,3.80,0.790,-0.790,56.6%,-0.096
07-13,두산,4회초,이영하,3 구자욱,3 (0-2),선행주자아웃 출루,2사 만루 4:5,이닝종료 4:5,3.73,0.805,-0.805,68.8%,-0.094
03-30,SSG,3회말,엘리아스,3 구자욱,1 (0-0),유격수 병살타 아웃,무사 만루 6:1,2사 3루 6:2,2.20,2.438,-1.013,14.6%,-0.092
06-26,LG,8회초,김진성,3 구자욱,2 (0-1),좌익수 플라이 아웃,"1사 1,2루 0:1","2사 1,3루 0:1",4.67,1.045,-0.501,74.7%,-0.090
05-28,키움,7회말,후라도,3 구자욱,3 (0-2),좌익수 플라이 아웃,2사 2루 3:2,이닝종료 3:2,2.63,0.391,-0.391,25.2%,-0.074
05-25,롯데,9회초,김원중,1 구자욱,7 (2-2),2루수 땅볼 아웃,무사  6:7,1사  6:7,2.87,0.563,-0.269,91.1%,-0.073
06-30,KT,9회초,박영현,3 구자욱,4 (1-2),헛스윙 삼진,무사  1:2,1사  1:2,2.87,0.582,-0.278,91.1%,-0.073
05-09,KIA,7회말,곽도규,2 구자욱,4 (1-2),헛스윙 삼진,"1사 1,2루 2:2","2사 1,2루 2:2",3.12,1.101,-0.617,57.4%,-0.071
08-02,SSG,8회말,노경은,5 구자욱,3 (0-2),2루수 땅볼 아웃,2사 1루 3:2,이닝종료 3:2,2.43,0.236,-0.236,16.2%,-0.069
06-02,한화,5회말,문동주,3 구자욱,2 (0-1),선행주자아웃 출루,"2사 1,3루 0:0",이닝종료 0:0,2.42,0.560,-0.560,50.0%,-0.067
03-27,LG,9회초,유영찬,3 구자욱,2 (1-0),좌익수 플라이 아웃,2사 1루 2:2,이닝종료 2:2,2.32,0.228,-0.228,63.7%,-0.065
05-21,KT,9회말,박영현,2 구자욱,3 (0-2),루킹 삼진,2사 1루 5:5,이닝종료 5:5,2.30,0.240,-0.240,50.0%,-0.064
08-08,한화,7회말,김범수,3 구자욱,7 (3-2),헛스윙 삼진,1사 1루 4:3,2사  4:3,2.58,0.583,-0.344,30.4%,-0.061
04-13,NC,9회말,이용찬,3 구자욱,7 (2-2),헛스윙 삼진,1사 1루 4:2,2사 2루 4:2,2.59,0.551,-0.314,4.5%,-0.061
05-11,NC,5회초,김시훈,2 구자욱,3 (1-1),좌익수 플라이 아웃,"1사 1,2루 0:2","2사 1,2루 0:2",2.61,0.996,-0.493,76.2%,-0.059
05-08,KIA,9회말,최지민,3 구자욱,5 (2-2),루킹 삼진,무사  2:2,1사  2:2,2.26,0.585,-0.284,58.0%,-0.058
05-08,KIA,11회말,정해영,3 구자욱,9 (3-2),헛스윙 삼진,무사  2:2,1사  2:2,2.26,0.585,-0.284,58.0%,-0.058
05-12,NC,5회초,이재학,2 구자욱,4 (2-1),중견수 플라이 아웃,"2사 1,2루 2:2",이닝종료 2:2,2.24,0.500,-0.500,56.6%,-0.058
05-30,키움,1회말,이종민,3 구자욱,4 (2-1),2루수 병살타 아웃,"무사 1,3루 0:0",2사  0:1,1.54,1.881,-0.762,61.4%,-0.056
07-03,KIA,8회말,최지민,3 구자욱,6 (1-2),헛스윙 삼진,1사 1루 6:4,2사 1루 6:4,2.34,0.564,-0.330,11.6%,-0.056
06-18,SSG,5회말,앤더슨,4 구자욱,5 (2-2),헛스윙 삼진,"2사 1,3루 5:2",이닝종료 5:2,1.93,0.534,-0.534,13.4%,-0.054
07-02,KIA,3회말,네일,3 구자욱,7 (3-2),1루주자 강민호 : 2루 이중도루,"1사 1,2루 0:3",2사 2루 0:4,0.56,0.491,-0.943,84.3%,-0.052
03-24,KT,1회초,엄상백,3 구자욱,3 (1-1),유격수 플라이 아웃,"무사 2,3루 0:0","1사 2,3루 0:0",1.43,2.063,-0.476,41.5%,-0.052
08-08,한화,5회말,문동주,3 구자욱,5 (2-2),헛스윙 삼진,무사 1루 3:2,1사 1루 3:2,2.21,1.046,-0.463,41.6%,-0.051
03-26,LG,7회초,이우찬,3 구자욱,4 (2-1),우익수 플라이 아웃,"2사 1,2루 3:2",이닝종료 3:2,1.85,0.489,-0.489,36.0%,-0.047
06-15,NC,7회초,김영규,3 구자욱,6 (2-2),헛스윙 삼진,"1사 1,3루 4:2","2사 1,3루 4:2",1.29,1.255,-0.727,18.1%,-0.046
03-23,KT,5회초,쿠에바스,3 구자욱,6 (2-2),헛스윙 삼진,2사 2루 1:2,이닝종료 1:2,1.63,0.380,-0.380,71.0%,-0.046
03-31,SSG,9회말,최민준,3 구자욱,6 (3-2),헛스윙 삼진,1사  3:3,2사  3:3,1.80,0.275,-0.168,53.5%,-0.045
06-04,SSG,7회초,노경은,3 구자욱,2 (1-0),중견수 플라이 아웃,무사  0:1,1사  0:1,1.73,0.568,-0.271,73.9%,-0.044
06-26,LG,4회초,엔스,3 구자욱,3 (0-2),헛스윙 삼진,1사 2루 0:0,2사 2루 0:0,1.51,0.793,-0.394,51.9%,-0.042
03-28,LG,3회초,손주영,3 구자욱,3 (2-0),2루수 땅볼 아웃,2사 3루 0:0,이닝종료 0:0,1.52,0.419,-0.419,55.5%,-0.042
06-30,KT,3회초,김민수,3 구자욱,3 (1-1),2루수 땅볼 아웃,2사 3루 1:1,이닝종료 1:1,1.52,0.426,-0.426,55.5%,-0.042
03-26,LG,6회초,켈리,3 구자욱,2 (1-0),1루수 땅볼 아웃,"1사 1,2루 0:2","2사 2,3루 0:2",2.87,0.971,-0.344,76.5%,-0.041
04-09,롯데,5회초,나균안,3 구자욱,1 (0-0),1루수 땅볼 아웃,"1사 1,2루 0:1","2사 2,3루 0:1",2.83,0.970,-0.342,62.5%,-0.040
07-12,두산,3회초,곽빈,3 구자욱,6 (3-2),우익수 플라이 아웃,무사 1루 2:3,1사 1루 2:3,1.73,1.006,-0.438,61.1%,-0.040
05-02,두산,7회초,김강률,3 구자욱,4 (1-2),유격수 땅볼 아웃,2사 2루 2:1,이닝종료 2:1,1.38,0.395,-0.395,36.0%,-0.039
07-13,두산,6회초,이병헌,3 구자욱,6 (2-2),2루수 플라이 아웃,2사 1루 4:5,이닝종료 4:5,1.33,0.229,-0.229,74.3%,-0.038
08-06,한화,2회말,바리아,3 구자욱,1 (0-0),2루수 땅볼 아웃,"2사 1,2루 1:2",이닝종료 1:2,1.47,0.501,-0.501,61.4%,-0.038
04-25,LG,3회말,최원태,3 구자욱,4 (1-2),우익수 플라이 아웃,2사 2루 2:0,이닝종료 2:0,1.27,0.395,-0.395,26.7%,-0.036
05-16,SSG,5회초,김광현,2 구자욱,7 (3-2),선행주자아웃 출루,1사 1루 1:3,2사 1루 1:3,1.51,0.561,-0.325,78.7%,-0.036
