Date,Team,Inning,Pitcher,Batter,BC,Result,Prev,Next,LEV,REs,REa,WPe,WPa
04-13,NC,9회말,이용찬,6 김영웅,5 (2-2),헛스윙 삼진,"2사 1,2루 4:3",이닝종료 4:3,6.65,0.506,-0.506,0.0%,-0.171
04-06,KIA,8회초,최지민,5 김영웅,4 (1-2),헛스윙 삼진,1사 만루 4:4,2사 만루 4:4,4.84,1.796,-0.843,46.6%,-0.146
06-26,LG,8회초,김진성,6 김영웅,3 (0-2),낫아웃 다른주자 수비 중 진루,2사 만루 1:1,이닝종료 1:1,5.64,0.863,-0.863,60.7%,-0.141
07-23,한화,8회초,한승혁,5 김영웅,2 (1-0),1루수 땅볼 출루,"무사 2,3루 3:4","1사 2,3루 3:4",3.33,2.338,-0.750,53.4%,-0.125
04-21,한화,7회초,이민우,5 김영웅,6 (3-2),2루수 인필드플라이 아웃,1사 만루 3:3,2사 만루 3:3,4.12,1.818,-0.965,46.7%,-0.124
03-27,LG,2회초,최원태,9 김영웅,5 (2-2),1루수 병살타 아웃,"무사 1,2루 0:1",2사 3루 0:1,2.12,1.622,-1.207,61.9%,-0.115
03-30,SSG,7회말,노경은,7 김영웅,6 (2-2),헛스윙 삼진,1사 만루 8:5,2사 만루 8:5,4.20,1.670,-0.745,16.8%,-0.102
05-16,SSG,8회초,조병현,4 김영웅,4 (1-2),헛스윙 삼진,무사 1루 2:3,1사 1루 2:3,3.50,0.994,-0.433,74.2%,-0.081
05-25,롯데,9회초,김원중,4 김영웅,5 (2-2),우익수 플라이 아웃,2사 1루 6:7,이닝종료 6:7,2.80,0.241,-0.241,100.0%,-0.079
07-13,두산,5회초,이영하,6 김영웅,6 (3-2),헛스윙 삼진,"무사 1,2루 4:5","1사 1,2루 4:5",2.74,1.650,-0.559,58.5%,-0.076
03-23,KT,7회초,주권,9 김영웅,6 (2-2),헛스윙 삼진,1사 2루 1:2,2사 2루 1:2,2.41,0.768,-0.388,72.7%,-0.068
07-19,롯데,6회말,김진욱,6 김영웅,3 (1-1),중견수 플라이 아웃,"2사 1,2루 4:2",이닝종료 4:2,2.58,0.476,-0.476,18.1%,-0.066
06-15,NC,8회초,김영규,6 김영웅,4 (1-2),루킹 삼진,무사 1루 4:4,1사 1루 4:4,2.83,0.982,-0.420,49.8%,-0.066
05-10,NC,7회초,하트,4 김영웅,3 (0-2),헛스윙 삼진,무사 1루 0:1,1사 1루 0:1,2.83,0.973,-0.427,69.0%,-0.065
05-28,키움,8회말,김재웅,4 김영웅,1 (0-0),우익수 플라이 아웃,무사  3:2,1사  3:2,2.48,0.564,-0.269,24.0%,-0.063
03-28,LG,4회초,손주영,8 김영웅,5 (2-2),헛스윙 삼진,1사 만루 0:4,2사 만루 0:4,2.49,1.649,-0.722,85.6%,-0.063
05-01,두산,4회초,브랜든,6 김영웅,2 (0-1),2루수 병살타 아웃,1사 1루 1:1,이닝종료 1:1,1.44,0.564,-0.564,56.0%,-0.063
05-25,롯데,5회초,한현희,4 김영웅,2 (0-1),좌익수 플라이 아웃,"2사 1,2루 3:4",이닝종료 3:4,2.38,0.509,-0.509,71.0%,-0.061
04-21,한화,5회초,산체스,5 김영웅,3 (2-0),2루수 땅볼 아웃,"2사 1,2루 2:3",이닝종료 2:3,2.38,0.498,-0.498,71.0%,-0.061
06-07,키움,8회초,김성민,9 김영웅,6 (3-2),헛스윙 삼진,무사 1루 5:7,1사 1루 5:7,2.61,0.974,-0.422,85.8%,-0.059
03-27,LG,9회초,유영찬,9 김영웅,4 (1-2),헛스윙 삼진,무사  2:2,1사  2:2,2.32,0.535,-0.260,55.9%,-0.059
06-08,키움,5회초,후라도,7 김영웅,5 (2-2),헛스윙 삼진,2사 만루 2:6,이닝종료 2:6,2.29,0.862,-0.862,93.4%,-0.059
06-06,SSG,4회초,오원석,7 김영웅,4 (1-2),헛스윙 삼진,"무사 1,2루 0:3","1사 1,2루 0:3",2.18,1.649,-0.647,77.6%,-0.058
07-21,롯데,5회말,반즈,5 김영웅,5 (1-2),루킹 삼진,2사 3루 4:3,이닝종료 4:3,2.07,0.425,-0.425,33.7%,-0.057
03-28,LG,2회초,손주영,8 김영웅,5 (3-1),중견수 플라이 아웃,"2사 1,3루 0:0",이닝종료 0:0,1.86,0.560,-0.560,55.1%,-0.051
06-12,LG,6회말,김진성,6 김영웅,3 (1-1),우익수 플라이 아웃,1사 1루 4:3,2사 1루 4:3,2.11,0.560,-0.318,34.6%,-0.050
08-02,SSG,7회말,문승원,8 김영웅,4 (1-2),헛스윙 삼진,1사 1루 3:1,2사 1루 3:1,2.07,0.581,-0.345,17.3%,-0.050
06-23,두산,3회말,홍건희,7 김영웅,1 (0-0),유격수 플라이 아웃,2사 만루 1:3,이닝종료 1:3,1.95,0.822,-0.822,73.3%,-0.049
06-04,SSG,5회초,송영진,5 김영웅,3 (0-2),헛스윙 삼진,무사 1루 0:1,1사 1루 0:1,2.10,0.985,-0.431,63.7%,-0.048
04-13,NC,6회말,하트,6 김영웅,2 (0-1),선행주자아웃 출루,무사 1루 1:1,1사 1루 1:1,2.07,0.979,-0.428,57.8%,-0.048
04-20,한화,6회초,장시환,5 김영웅,4 (2-1),3루수 파울플라이 아웃,"2사 1,2루 1:0",이닝종료 1:0,1.84,0.496,-0.496,39.2%,-0.047
07-31,LG,4회초,손주영,5 김영웅,6 (2-2),헛스윙 삼진,"1사 1,2루 1:4","2사 1,2루 1:4",2.05,1.125,-0.625,82.3%,-0.047
03-23,KT,9회초,박영현,9 김영웅,3 (1-1),좌익수 플라이 아웃,1사  2:2,2사  2:2,1.80,0.271,-0.167,60.4%,-0.045
04-20,한화,8회초,장지수,5 김영웅,4 (1-2),헛스윙 삼진,"2사 1,2루 1:0",이닝종료 1:0,1.72,0.496,-0.496,30.4%,-0.044
08-06,한화,1회말,바리아,5 김영웅,3 (0-2),헛스윙 삼진,"무사 1,2루 1:2","1사 1,2루 1:2",1.54,1.679,-0.556,67.9%,-0.044
03-27,LG,6회초,이지강,9 김영웅,3 (0-2),2루수 땅볼 아웃,2사 3루 2:1,이닝종료 2:1,1.60,0.415,-0.415,39.2%,-0.044
07-21,롯데,8회말,김상수,5 김영웅,4 (1-2),헛스윙 삼진,무사  5:3,1사  5:3,1.71,0.588,-0.286,11.9%,-0.043
06-19,SSG,5회말,오원석,7 김영웅,2 (0-1),좌익수 플라이 아웃,1사 1루 1:0,2사 1루 1:0,1.81,0.564,-0.325,37.3%,-0.043
03-30,SSG,9회말,문승원,7 김영웅,4 (1-2),헛스윙 삼진,무사 1루 9:6,1사 1루 9:6,1.86,0.962,-0.422,4.5%,-0.043
04-06,KIA,1회초,윤영철,5 김영웅,3 (0-2),헛스윙 삼진,"2사 1,2루 0:0",이닝종료 0:0,1.62,0.498,-0.498,54.8%,-0.042
03-31,SSG,6회말,더거,9 김영웅,7 (2-2),1루수 땅볼 아웃,무사  3:2,1사  3:2,1.57,0.540,-0.265,35.2%,-0.040
05-09,KIA,3회말,네일,4 김영웅,5 (1-2),유격수 땅볼 아웃,2사 2루 2:1,이닝종료 2:1,1.39,0.393,-0.393,37.5%,-0.039
04-06,KIA,7회초,장현식,5 김영웅,4 (1-2),루킹 삼진,무사  4:4,1사  4:4,1.54,0.552,-0.269,53.9%,-0.039
05-30,키움,3회말,이종민,5 김영웅,7 (3-2),1루수 땅볼 아웃,"2사 1,2루 0:1",이닝종료 0:1,1.52,0.513,-0.513,62.5%,-0.039
08-08,한화,3회말,문동주,5 김영웅,6 (2-2),헛스윙 삼진,1사 2루 2:2,2사 2루 2:2,1.38,0.814,-0.419,53.7%,-0.039
07-21,롯데,4회말,반즈,5 김영웅,3 (1-1),선행주자아웃 출루,무사 1루 4:1,1사 1루 4:1,1.67,1.025,-0.454,21.4%,-0.038
04-23,LG,2회말,임찬규,5 김영웅,4 (2-1),유격수 플라이 아웃,무사 1루 1:0,1사 1루 1:0,1.65,0.962,-0.422,44.3%,-0.038
06-04,SSG,8회초,고효준,5 김영웅,1 (0-0),선행주자아웃 출루,2사 만루 3:1,이닝종료 3:1,1.50,0.909,-0.909,16.2%,-0.038
06-12,LG,2회말,손주영,6 김영웅,5 (2-2),선행주자아웃 출루,무사 1루 2:0,1사 1루 2:0,1.64,0.978,-0.418,34.0%,-0.038
06-01,한화,7회말,이민우,5 김영웅,5 (2-2),2루수 땅볼 아웃,"2사 1,2루 4:5",이닝종료 4:5,1.42,0.506,-0.506,74.8%,-0.037
05-28,키움,1회말,후라도,4 김영웅,7 (3-2),루킹 삼진,2사 3루 0:0,이닝종료 0:0,1.32,0.432,-0.432,50.0%,-0.036
07-18,KIA,5회초,곽도규,3 김영웅,3 (0-2),우익수 플라이 아웃,1사 1루 3:5,2사 1루 3:5,1.51,0.569,-0.342,78.7%,-0.036
08-07,한화,7회말,이상규,5 김영웅,3 (0-2),헛스윙 삼진,무사 2루 6:7,1사 2루 6:7,0.93,1.288,-0.473,80.9%,-0.036
04-20,한화,2회초,황준서,5 김영웅,3 (0-2),루킹 삼진,무사 1루 0:0,1사 1루 0:0,1.53,0.975,-0.423,49.8%,-0.035
05-08,KIA,9회말,최지민,5 김영웅,2 (1-0),3루수 파울플라이 아웃,2사  2:2,이닝종료 2:2,1.38,0.115,-0.115,50.0%,-0.035
06-05,SSG,6회초,앤더슨,5 김영웅,5 (2-2),헛스윙 삼진,1사 2루 2:5,2사 2루 2:5,1.26,0.785,-0.390,88.6%,-0.035
03-31,SSG,8회말,한두솔,9 김영웅,5 (2-2),루킹 삼진,1사  3:3,2사  3:3,1.39,0.275,-0.168,52.6%,-0.035
03-30,SSG,2회말,엘리아스,7 김영웅,4 (1-2),헛스윙 삼진,2사 2루 0:0,이닝종료 0:0,1.21,0.383,-0.383,50.0%,-0.034
06-16,NC,4회초,김시훈,6 김영웅,4 (1-2),2루수 플라이 아웃,1사 1루 1:1,2사 1루 1:1,1.44,0.561,-0.322,53.2%,-0.034
04-07,KIA,6회초,양현종,5 김영웅,3 (1-1),중견수 플라이 아웃,무사  3:3,1사  3:3,1.34,0.552,-0.269,53.4%,-0.034
07-23,한화,6회초,박상원,5 김영웅,5 (2-2),2루수 땅볼 아웃,무사  3:3,1사  3:3,1.34,0.589,-0.287,53.4%,-0.034
03-27,LG,11회초,최동환,9 김영웅,5 (2-2),1루수 땅볼 아웃,2사  2:2,이닝종료 2:2,1.32,0.107,-0.107,63.7%,-0.034
05-21,KT,3회말,육청명,4 김영웅,3 (0-2),선행주자아웃 출루,1사 1루 3:1,2사 1루 3:1,1.39,0.552,-0.313,29.3%,-0.033
08-01,LG,1회초,임찬규,5 김영웅,1 (0-0),선행주자아웃 출루,"1사 1,2루 1:0","2사 1,3루 1:0",1.72,1.125,-0.603,40.2%,-0.033
03-23,KT,5회초,쿠에바스,9 김영웅,1 (0-0),좌익수 플라이 아웃,무사  1:2,1사  1:2,1.27,0.529,-0.258,67.3%,-0.032
06-15,NC,5회초,하트,6 김영웅,6 (2-2),좌익수 플라이 아웃,무사  0:1,1사  0:1,1.27,0.569,-0.270,67.3%,-0.032
07-26,KT,5회말,엄상백,5 김영웅,3 (0-2),루킹 삼진,무사  3:1,1사  3:1,1.25,0.588,-0.288,25.2%,-0.032
08-03,SSG,1회말,송영진,5 김영웅,2 (0-1),우익수 플라이 아웃,"1사 1,2루 0:1","2사 1,3루 0:1",1.64,1.120,-0.597,64.7%,-0.031
03-26,LG,6회초,켈리,9 김영웅,5 (1-2),루킹 삼진,무사  0:2,1사  0:2,1.23,0.529,-0.258,81.4%,-0.031
05-11,NC,6회초,류진욱,4 김영웅,3 (0-2),좌익수 플라이 아웃,무사  0:2,1사  0:2,1.23,0.554,-0.269,81.4%,-0.031
03-24,KT,5회초,김민수,9 김영웅,1 (0-0),중견수 플라이 아웃,"2사 2,3루 4:1",이닝종료 4:1,1.05,0.626,-0.626,18.7%,-0.031
