Date,Team,Inning,Pitcher,Batter,BC,Result,Prev,Next,LEV,REs,REa,WPe,WPa
04-06,KIA,8회초,전상현,6 김재혁,6 (3-2),유격수 땅볼 아웃,2사 만루 4:4,이닝종료 4:4,5.64,0.953,-0.953,60.7%,-0.141
04-10,롯데,8회초,김원중,5 김재혁,5 (2-2),헛스윙 삼진,2사 만루 7:7,이닝종료 7:7,5.64,0.945,-0.945,60.7%,-0.141
04-10,롯데,6회초,전미르,5 김재혁,5 (2-2),헛스윙 삼진,무사 1루 3:4,1사 1루 3:4,2.40,0.981,-0.432,65.8%,-0.055
06-30,KT,9회초,박영현,4 김재혁,5 (2-2),헛스윙 삼진,1사  1:2,2사  1:2,2.12,0.304,-0.186,96.4%,-0.053
04-13,NC,4회말,하트,7 김재혁,4 (1-2),루킹 삼진,"1사 1,2루 1:1","2사 1,2루 1:1",2.31,0.994,-0.489,55.2%,-0.053
06-01,한화,4회말,조동욱,8 김재혁,3 (0-2),루킹 삼진,"1사 1,2루 3:3","2사 1,2루 3:3",2.31,0.994,-0.488,55.2%,-0.053
04-10,롯데,7회초,최준용,5 김재혁,5 (3-1),중견수 플라이 아웃,"2사 1,3루 4:7",이닝종료 4:7,1.70,0.575,-0.575,94.3%,-0.047
06-09,키움,5회초,헤이수스,9 김재혁,4 (1-2),헛스윙 삼진,"1사 1,2루 1:0","2사 1,2루 1:0",2.02,1.004,-0.506,36.7%,-0.046
04-09,롯데,4회초,나균안,5 김재혁,5 (2-2),헛스윙 삼진,무사 1루 0:1,1사 1루 0:1,1.89,0.946,-0.412,62.2%,-0.044
04-09,롯데,1회초,나균안,5 김재혁,4 (1-2),헛스윙 삼진,"2사 1,2루 0:0",이닝종료 0:0,1.62,0.489,-0.489,54.8%,-0.042
04-12,NC,1회말,카스타노,5 김재혁,7 (3-2),루킹 삼진,"2사 1,2루 3:0",이닝종료 3:0,1.52,0.505,-0.505,21.8%,-0.039
05-31,한화,7회말,김범수,9 김재혁,7 (3-2),2루수 병살타 아웃,"1사 1,2루 6:8",이닝종료 6:8,0.83,0.997,-0.997,86.6%,-0.039
04-07,KIA,1회초,양현종,3 김재혁,3 (1-1),2루수 땅볼 아웃,1사 2루 0:0,2사 3루 0:0,1.21,0.784,-0.353,51.2%,-0.030
04-06,KIA,7회초,장현식,6 김재혁,3 (0-2),2루수 플라이 아웃,1사  4:4,2사  4:4,1.15,0.283,-0.170,56.8%,-0.029
04-10,롯데,2회초,윌커슨,5 김재혁,4 (1-2),루킹 삼진,무사  0:2,1사  0:2,0.92,0.558,-0.268,72.4%,-0.023
04-07,KIA,5회초,양현종,3 김재혁,2 (0-1),유격수 송구실책 출루,1사  3:3,2사  3:3,0.87,0.282,-0.170,55.2%,-0.022
04-12,NC,3회말,카스타노,5 김재혁,4 (1-2),낫아웃 삼진,2사 2루 6:1,이닝종료 6:1,0.61,0.400,-0.400,7.6%,-0.017
04-11,롯데,6회초,이인복,5 김재혁,3 (1-1),2루수 땅볼 아웃,무사  2:0,1사  2:0,0.66,0.559,-0.269,23.4%,-0.017
06-09,키움,3회초,헤이수스,9 김재혁,3 (0-2),헛스윙 삼진,1사  1:0,2사  1:0,0.62,0.295,-0.176,42.3%,-0.016
05-29,키움,9회말,전준표,1 김재혁,1 (0-0),유격수 병살타 아웃,"무사 1,2루 11:5",2사 3루 11:5,0.44,1.670,-1.237,0.1%,-0.015
