Date,Team,Inning,Pitcher,Batter,BC,Result,Prev,Next,LEV,REs,REa,WPe,WPa
07-28,KT,9회말,박영현,1 김지찬,6 (2-2),2루수 병살타 아웃,"1사 1,2루 4:3",이닝종료 4:3,7.15,1.101,-1.101,0.0%,-0.335
08-08,한화,4회말,문동주,1 김지찬,6 (3-2),2루수 병살타 아웃,"1사 1,3루 3:2",이닝종료 3:2,2.47,1.326,-1.326,35.9%,-0.155
07-21,롯데,8회말,김원중,1 김지찬,3 (1-1),선행주자아웃 출루,"2사 1,3루 5:4",이닝종료 5:4,5.14,0.523,-0.523,16.2%,-0.142
05-21,KT,2회말,육청명,1 김지찬,7 (3-2),중견수 플라이 아웃,"1사 1,3루 1:1",이닝종료 1:1,1.92,1.265,-1.265,50.0%,-0.120
04-10,롯데,9회초,김원중,1 김지찬,2 (0-1),2루수 땅볼 아웃,"2사 1,2루 7:7",이닝종료 7:7,4.46,0.502,-0.502,63.7%,-0.114
06-12,LG,7회말,이지강,2 김지찬,3 (0-2),포수 파울플라이 아웃,"1사 1,2루 4:3","2사 1,2루 4:3",4.13,1.023,-0.519,34.6%,-0.094
06-07,키움,8회초,김성민,1 김지찬,4 (2-1),1루수 병살타 아웃,1사 1루 5:7,이닝종료 5:7,1.97,0.552,-0.552,94.0%,-0.082
03-30,SSG,8회말,조병현,2 김지찬,3 (1-1),유격수 땅볼 아웃,무사 2루 8:6,1사 2루 8:6,2.70,1.266,-0.502,19.2%,-0.078
06-06,SSG,4회초,오원석,1 김지찬,2 (1-0),1루수 땅볼 아웃,2사 만루 0:3,이닝종료 0:3,2.95,0.910,-0.910,86.4%,-0.076
04-06,KIA,5회초,이준영,1 김지찬,6 (1-2),투수 땅볼 아웃,2사 만루 4:3,이닝종료 4:3,2.99,0.953,-0.953,41.2%,-0.075
07-26,KT,8회말,김민,1 김지찬,5 (2-2),헛스윙 삼진,"1사 1,3루 4:1","2사 1,3루 4:1",2.67,1.306,-0.789,8.6%,-0.075
03-26,LG,9회초,유영찬,1 김지찬,1 (0-0),포수 파울플라이 아웃,1사 1루 3:3,2사 1루 3:3,3.04,0.534,-0.311,57.3%,-0.073
07-03,KIA,5회말,알드레드,1 김지찬,4 (1-2),헛스윙 삼진,"1사 1,2루 3:2","2사 1,3루 3:2",2.97,1.068,-0.576,40.3%,-0.067
03-31,SSG,6회말,더거,2 김지찬,7 (2-2),우익수 플라이 아웃,1사 2루 3:2,2사 2루 3:2,2.21,0.769,-0.383,36.4%,-0.062
04-05,KIA,5회초,크로우,1 김지찬,6 (2-2),선행주자아웃 출루,"2사 1,2루 0:1",이닝종료 0:1,2.38,0.500,-0.500,71.0%,-0.061
04-04,키움,8회말,조상우,2 김지찬,2 (1-0),1루수 병살타 아웃,"1사 1,2루 5:1",이닝종료 5:1,1.58,0.992,-0.992,1.4%,-0.060
05-26,롯데,6회초,구승민,2 김지찬,6 (3-2),헛스윙 삼진,"2사 1,2루 1:3",이닝종료 1:3,2.27,0.509,-0.509,84.8%,-0.059
05-12,NC,5회초,이재학,1 김지찬,2 (1-0),중견수 플라이 아웃,"1사 1,2루 2:2","2사 1,2루 2:2",2.58,1.125,-0.625,50.9%,-0.059
06-04,SSG,6회초,송영진,1 김지찬,5 (1-2),좌익수 플라이 아웃,1사 2루 0:1,2사 2루 0:1,2.03,0.787,-0.391,68.9%,-0.057
05-02,두산,5회초,최원준,1 김지찬,2 (0-1),중견수 플라이 아웃,무사 2루 1:1,1사 2루 1:1,1.61,1.257,-0.443,47.5%,-0.057
03-26,LG,7회초,이우찬,1 김지찬,2 (0-1),선행주자아웃 출루,"무사 1,2루 3:2","1사 1,2루 3:2",1.78,1.611,-0.640,26.6%,-0.053
05-25,롯데,9회초,김원중,2 김지찬,2 (0-1),2루수 땅볼 아웃,1사  6:7,2사  6:7,2.12,0.294,-0.177,96.4%,-0.053
06-08,키움,2회초,후라도,1 김지찬,6 (1-2),2루수 땅볼 아웃,"2사 1,3루 2:3",이닝종료 2:3,1.90,0.541,-0.541,65.8%,-0.053
07-13,두산,8회초,최지강,9 김지찬,7 (2-2),유격수 땅볼 아웃,1사 2루 4:6,2사 3루 4:6,2.01,0.813,-0.394,89.5%,-0.053
03-31,SSG,4회말,더거,2 김지찬,5 (2-2),1루수 직선타 아웃,무사 3루 3:0,1사 3루 3:0,1.37,1.587,-0.601,25.1%,-0.051
06-15,NC,8회초,김재열,8 김지찬,3 (0-2),헛스윙 삼진,2사 1루 4:4,이닝종료 4:4,1.80,0.239,-0.239,60.7%,-0.051
06-14,NC,5회초,신민혁,1 김지찬,7 (3-2),유격수 땅볼 아웃,1사 2루 2:3,2사 2루 2:3,1.77,0.796,-0.397,66.4%,-0.050
05-26,롯데,4회초,김상수,2 김지찬,2 (2-2),선행주자아웃 출루,"1사 1,2루 1:3","2사 1,3루 1:3",2.40,0.985,-0.420,73.3%,-0.048
04-07,KIA,3회초,양현종,1 김지찬,1 (0-0),1루수 번트 플라이 아웃,무사 2루 1:1,1사 2루 1:1,1.38,1.296,-0.512,47.9%,-0.047
06-30,KT,3회초,조이현,1 김지찬,4 (2-1),좌익수 플라이 아웃,무사 2루 1:1,1사 2루 1:1,1.38,1.280,-0.475,47.9%,-0.047
06-30,KT,8회초,김민,1 김지찬,1 (0-0),2루수 땅볼 아웃,무사  1:1,1사  1:1,1.85,0.582,-0.278,54.7%,-0.047
04-10,롯데,3회초,윌커슨,1 김지찬,6 (3-2),유격수 플라이 아웃,1사 1루 0:3,이닝종료 0:3,1.11,0.549,-0.549,84.3%,-0.047
05-28,키움,9회말,주승우,1 김지찬,7 (3-2),2루수 땅볼 아웃,2사  4:3,이닝종료 4:3,1.81,0.117,-0.117,0.0%,-0.047
