Date,Team,Inning,Pitcher,Batter,BC,Result,Prev,Next,LEV,REs,REa,WPe,WPa
07-02,KIA,9회말,임기영,9 김헌곤,7 (2-2),2루수 플라이 아웃,1사 3루 4:4,2사 3루 4:4,4.72,1.053,-0.627,62.7%,-0.200
06-19,SSG,5회말,오원석,1 김헌곤,3 (1-1),3루수 땅볼 아웃,"2사 2,3루 1:1",이닝종료 1:1,2.65,0.612,-0.612,50.0%,-0.078
04-13,NC,9회말,이용찬,2 김헌곤,6 (2-2),우익수 플라이 아웃,무사 1루 4:2,1사 1루 4:2,3.46,0.979,-0.428,10.6%,-0.077
05-28,키움,7회말,후라도,2 김헌곤,3 (0-2),3루수 땅볼 아웃,1사 2루 3:2,2사 2루 3:2,2.70,0.789,-0.398,32.6%,-0.076
07-14,두산,7회초,이영하,1 김헌곤,6 (2-2),2루수 직선타 아웃,1사 2루 1:2,2사 2루 1:2,2.41,0.803,-0.408,72.7%,-0.068
06-23,두산,4회말,정철원,2 김헌곤,2 (0-1),2루수 직선타 아웃,"1사 1,3루 3:4","2사 1,3루 3:4",1.75,1.261,-0.721,68.8%,-0.063
05-11,NC,4회초,김시훈,7 김헌곤,3 (0-2),2루수 병살타 아웃,1사 1루 0:0,이닝종료 0:0,1.44,0.546,-0.546,56.0%,-0.063
06-18,SSG,7회말,조병현,1 김헌곤,4 (1-2),유격수 병살타 아웃,무사 1루 6:2,2사  6:2,1.29,0.981,-0.863,4.0%,-0.060
04-10,롯데,10회초,박진,2 김헌곤,4 (1-2),유격수 땅볼 아웃,무사  7:7,1사  7:7,2.32,0.558,-0.268,55.9%,-0.059
06-15,NC,8회초,김재열,7 김헌곤,1 (0-0),우익수 플라이 아웃,1사 1루 4:4,2사 1루 4:4,2.44,0.562,-0.323,55.6%,-0.058
06-26,LG,5회초,엔스,1 김헌곤,4 (1-2),우익수 플라이 아웃,"2사 1,2루 0:0",이닝종료 0:0,2.24,0.499,-0.499,56.6%,-0.058
07-11,NC,3회말,신민혁,1 김헌곤,3 (0-2),헛스윙 삼진,"무사 1,2루 0:0","1사 1,2루 0:0",2.03,1.637,-0.566,59.7%,-0.058
06-19,SSG,3회말,오원석,1 김헌곤,2 (0-1),유격수 병살타 아웃,1사 1루 0:0,이닝종료 0:0,1.31,0.564,-0.564,50.0%,-0.057
05-01,두산,5회초,브랜든,8 김헌곤,6 (3-2),헛스윙 삼진,무사 2루 1:1,1사 2루 1:1,1.61,1.263,-0.454,47.5%,-0.057
07-23,한화,7회초,이민우,1 김헌곤,5 (2-2),헛스윙 삼진,1사 1루 3:4,2사 1루 3:4,2.31,0.570,-0.343,74.6%,-0.055
05-16,SSG,6회초,노경은,8 김헌곤,1 (0-0),투수 땅볼 아웃,2사 2루 2:3,이닝종료 2:3,1.88,0.400,-0.400,74.3%,-0.053
07-23,한화,9회초,주현상,1 김헌곤,3 (0-2),투수 희생번트 아웃,무사 1루 5:6,1사 2루 5:6,4.61,1.026,-0.210,77.5%,-0.052
04-21,한화,7회초,이민우,8 김헌곤,4 (1-2),우익수 플라이 아웃,2사 만루 5:3,이닝종료 5:3,1.86,0.853,-0.853,21.5%,-0.047
07-24,한화,2회초,류현진,8 김헌곤,5 (2-2),루킹 삼진,"1사 1,2루 0:0","2사 1,2루 0:0",2.05,1.102,-0.622,50.7%,-0.047
05-16,SSG,4회초,김광현,8 김헌곤,6 (3-2),3루수 땅볼 아웃,2사 3루 1:2,이닝종료 1:2,1.67,0.415,-0.415,68.8%,-0.046
04-07,KIA,3회초,양현종,6 김헌곤,8 (2-2),중견수 플라이 아웃,"2사 2,3루 3:1",이닝종료 3:1,1.55,0.622,-0.622,32.3%,-0.046
07-21,롯데,4회말,반즈,8 김헌곤,4 (1-2),헛스윙 삼진,"2사 1,2루 4:1",이닝종료 4:1,1.77,0.481,-0.481,16.0%,-0.046
03-27,LG,11회초,최동환,8 김헌곤,4 (2-1),3루수 파울플라이 아웃,1사  2:2,2사  2:2,1.80,0.275,-0.168,60.4%,-0.045
05-21,KT,9회말,박영현,9 김헌곤,6 (3-2),유격수 파울플라이 아웃,1사  5:5,2사  5:5,1.80,0.293,-0.175,53.5%,-0.045
05-10,NC,5회초,하트,6 김헌곤,4 (1-2),헛스윙 삼진,무사 1루 0:0,1사 1루 0:0,1.93,0.973,-0.427,49.7%,-0.045
05-18,한화,5회말,김범수,2 김헌곤,8 (2-2),헛스윙 삼진,무사 1루 4:4,1사 2루 4:4,1.88,0.977,-0.428,56.9%,-0.044
08-02,SSG,6회말,엘리아스,2 김헌곤,3 (1-1),우익수 플라이 아웃,무사 1루 3:0,1사 1루 3:0,1.88,1.036,-0.455,16.2%,-0.043
07-31,LG,5회초,손주영,2 김헌곤,3 (1-1),3루수 땅볼 아웃,"2사 1,2루 1:4",이닝종료 1:4,1.63,0.500,-0.500,88.7%,-0.042
08-07,한화,3회말,류현진,2 김헌곤,2 (0-1),3루수 병살타 아웃,1사 1루 4:0,이닝종료 4:0,0.99,0.583,-0.583,12.0%,-0.042
06-27,LG,1회초,이상영,2 김헌곤,5 (2-2),3루수 땅볼 아웃,무사 2루 0:0,1사 2루 0:0,1.22,1.278,-0.473,48.2%,-0.041
08-04,SSG,3회말,김광현,2 김헌곤,6 (2-2),헛스윙 삼진,"2사 2,3루 2:4",이닝종료 2:4,1.37,0.622,-0.622,73.3%,-0.041
06-23,두산,3회말,김동주,2 김헌곤,3 (1-1),우익수 플라이 아웃,무사 1루 3:1,1사 1루 3:1,1.77,0.991,-0.429,32.7%,-0.041
06-27,LG,3회초,이상영,2 김헌곤,4 (2-1),3루수 땅볼 아웃,2사 2루 0:0,이닝종료 0:0,1.30,0.400,-0.400,55.5%,-0.037
05-19,한화,1회말,류현진,2 김헌곤,1 (0-0),우익수 플라이 아웃,무사 1루 2:0,1사 1루 2:0,1.54,0.986,-0.435,35.1%,-0.035
08-04,SSG,1회말,김광현,2 김헌곤,2 (0-1),유격수 플라이 아웃,무사 1루 2:0,1사 1루 2:0,1.54,1.041,-0.457,35.1%,-0.035
05-11,NC,7회초,류진욱,7 김헌곤,7 (3-2),헛스윙 삼진,무사  0:2,1사  0:2,1.34,0.554,-0.269,85.3%,-0.034
04-20,한화,2회초,황준서,7 김헌곤,3 (0-2),중견수 플라이 아웃,2사 2루 0:0,이닝종료 0:0,1.20,0.397,-0.397,55.1%,-0.034
07-24,한화,9회초,주현상,8 김헌곤,1 (0-0),좌익수 플라이 아웃,2사  2:2,이닝종료 2:2,1.32,0.115,-0.115,63.7%,-0.034
08-02,SSG,3회말,엘리아스,2 김헌곤,6 (3-2),유격수 땅볼 아웃,2사 3루 3:0,이닝종료 3:0,1.22,0.427,-0.427,18.2%,-0.034
07-30,LG,1회초,엔스,2 김헌곤,1 (0-0),중견수 플라이 아웃,무사 1루 0:0,1사 1루 0:0,1.44,1.022,-0.450,49.8%,-0.033
08-02,SSG,1회말,엘리아스,2 김헌곤,6 (3-2),좌익수 플라이 아웃,무사 1루 3:0,1사 1루 3:0,1.43,1.036,-0.455,26.5%,-0.033
04-23,LG,5회말,임찬규,9 김헌곤,3 (1-1),우익수 플라이 아웃,2사 2루 3:0,이닝종료 3:0,1.13,0.383,-0.383,13.4%,-0.032
05-01,두산,2회초,브랜든,8 김헌곤,4 (1-2),헛스윙 삼진,1사 2루 1:0,2사 2루 1:0,1.15,0.809,-0.417,41.0%,-0.032
05-21,KT,5회말,육청명,9 김헌곤,6 (2-2),헛스윙 삼진,무사  3:1,1사  3:1,1.25,0.562,-0.269,25.2%,-0.032
04-25,LG,7회말,김진성,9 김헌곤,3 (0-2),중견수 플라이 아웃,2사 2루 5:2,이닝종료 5:2,1.07,0.395,-0.395,6.9%,-0.031
05-09,KIA,2회말,네일,7 김헌곤,3 (0-2),헛스윙 삼진,1사 2루 0:1,2사 2루 0:1,1.09,0.814,-0.421,64.4%,-0.031
05-26,롯데,2회초,반즈,9 김헌곤,3 (0-2),좌익수 플라이 아웃,1사 1루 1:1,2사 1루 1:1,1.23,0.549,-0.307,52.7%,-0.030
04-27,키움,4회초,후라도,8 김헌곤,4 (1-2),헛스윙 삼진,2사 1루 0:0,이닝종료 0:0,1.00,0.239,-0.239,56.0%,-0.028
04-13,NC,3회말,하트,2 김헌곤,4 (1-2),낫아웃 삼진,2사 1루 1:0,이닝종료 1:0,0.98,0.238,-0.238,37.5%,-0.028
06-18,SSG,3회말,앤더슨,1 김헌곤,2 (0-1),유격수 직선타 아웃,무사  4:2,1사  4:2,1.05,0.570,-0.270,29.7%,-0.027
07-17,KIA,3회초,양현종,1 김헌곤,5 (2-2),2루수 직선타 아웃,2사 1루 0:1,이닝종료 0:1,0.93,0.229,-0.229,67.1%,-0.026
05-18,한화,8회말,이민우,2 김헌곤,8 (3-2),루킹 삼진,2사  8:8,이닝종료 8:8,1.03,0.118,-0.118,50.0%,-0.026
07-04,KIA,8회말,황동하,2 김헌곤,4 (2-1),2루수 플라이 아웃,2사  3:3,이닝종료 3:3,1.03,0.118,-0.118,50.0%,-0.026
05-17,한화,3회말,황준서,2 김헌곤,3 (0-2),루킹 삼진,2사 1루 1:1,이닝종료 1:1,0.92,0.238,-0.238,50.0%,-0.026
05-16,SSG,3회초,김광현,8 김헌곤,2 (0-1),3루수 땅볼 아웃,무사  0:0,1사  0:0,0.99,0.576,-0.274,52.5%,-0.025
07-21,롯데,3회말,반즈,8 김헌곤,5 (2-2),헛스윙 삼진,무사  1:1,1사  1:1,0.99,0.588,-0.286,53.0%,-0.025
07-27,KT,6회말,김민수,2 김헌곤,4 (2-1),3루수 땅볼 아웃,"2사 1,2루 1:3",이닝종료 1:3,0.97,0.488,-0.488,81.9%,-0.025
05-14,SSG,3회초,오원석,7 김헌곤,3 (0-2),중견수 플라이 아웃,무사  0:2,1사  0:2,0.97,0.556,-0.268,74.0%,-0.025
06-16,NC,7회초,임정호,1 김헌곤,4 (2-1),3루수 땅볼 아웃,무사  3:2,1사  3:2,0.98,0.569,-0.270,32.9%,-0.025
03-26,LG,8회초,박명근,7 김헌곤,3 (0-2),루킹 삼진,2사 1루 3:2,이닝종료 3:2,0.88,0.223,0.777,30.4%,-0.025
04-07,KIA,6회초,양현종,6 김헌곤,4 (0-2),유격수 땅볼 아웃,1사  3:3,2사  3:3,0.98,0.282,-0.170,55.8%,-0.024
04-20,한화,5회초,황준서,7 김헌곤,6 (3-2),루킹 삼진,무사  1:0,1사  1:0,0.94,0.563,-0.268,38.3%,-0.024
