Date,Team,Inning,Pitcher,Batter,BC,Result,Prev,Next,LEV,REs,REa,WPe,WPa
05-03,롯데,9회말,김원중,8 김현준,5 (2-2),루킹 삼진,"1사 1,2루 8:7","2사 1,2루 8:7",7.15,1.097,-0.621,17.1%,-0.164
07-21,롯데,8회말,김원중,9 김현준,4 (1-2),선행주자아웃 출루,"1사 1,2루 5:4","2사 1,3루 5:4",5.24,1.106,-0.583,30.4%,-0.099
04-10,롯데,6회초,전미르,8 김현준,5 (1-2),헛스윙 삼진,"2사 2,3루 3:4",이닝종료 3:4,3.33,0.614,-0.614,74.3%,-0.098
03-31,SSG,10회말,이로운,1 김현준,2 (1-0),중견수 플라이 아웃,"1사 1,2루 3:3","2사 1,2루 3:3",4.30,0.971,-0.488,61.2%,-0.096
03-26,LG,2회초,켈리,7 김현준,5 (3-1),1루수 병살타 아웃,"1사 1,2루 0:1",이닝종료 0:1,2.16,0.971,-0.971,65.8%,-0.095
05-25,롯데,6회초,최준용,9 김현준,3 (0-2),2루수 땅볼 아웃,1사 3루 5:5,2사 3루 5:5,2.21,1.025,-0.591,51.6%,-0.093
08-02,SSG,9회말,조병현,6 김현준,9 (3-2),헛스윙 삼진,무사  3:2,1사  3:2,3.47,0.592,-0.287,11.2%,-0.088
03-29,SSG,2회말,김광현,1 김현준,6 (2-2),헛스윙 삼진,2사 만루 4:1,이닝종료 4:1,2.92,0.928,0.072,20.2%,-0.075
08-04,SSG,1회말,김광현,8 김현준,4 (1-2),낫아웃 삼진,2사 만루 2:2,이닝종료 2:2,2.81,0.825,-0.825,50.0%,-0.071
03-27,LG,6회초,이지강,8 김현준,3 (1-1),1루수 직선타 아웃,1사 3루 2:1,2사 3루 2:1,1.63,0.982,-0.567,34.9%,-0.069
05-25,롯데,5회초,김진욱,9 김현준,3 (0-2),헛스윙 삼진,무사 만루 0:4,1사 만루 0:4,2.65,2.591,-0.819,81.2%,-0.068
04-06,KIA,8회초,최지민,2 김현준,2 (1-0),선행주자아웃 출루,무사 1루 4:4,1사 1루 4:4,2.83,0.975,-0.426,49.8%,-0.066
03-27,LG,4회초,최원태,8 김현준,3 (1-1),2루수 병살타 아웃,1사 1루 1:1,이닝종료 1:1,1.44,0.537,-0.537,56.0%,-0.063
05-09,KIA,4회말,네일,9 김현준,4 (1-2),3루수 땅볼 아웃,"2사 1,2루 2:1",이닝종료 2:1,2.25,0.484,-0.484,35.9%,-0.058
04-02,키움,3회말,김선기,1 김현준,5 (3-1),2루수 병살타 아웃,1사 1루 0:0,이닝종료 0:0,1.31,0.536,-0.536,50.0%,-0.057
07-26,KT,8회말,김민,2 김현준,3 (0-2),헛스윙 삼진,"2사 1,3루 4:1",이닝종료 4:1,1.91,0.517,-0.517,3.3%,-0.053
07-21,롯데,7회말,반즈,9 김현준,5 (0-2),1루수 땅볼 아웃,무사  4:3,1사  4:3,1.91,0.588,-0.286,31.1%,-0.049
03-26,LG,6회초,켈리,7 김현준,5 (1-2),낫아웃 삼진,"2사 1,2루 3:2",이닝종료 3:2,1.84,0.489,-0.489,39.2%,-0.047
05-31,한화,4회말,한승혁,9 김현준,7 (2-2),좌익수 플라이 아웃,1사 2루 5:4,2사 2루 5:4,1.67,0.792,-0.397,40.3%,-0.047
07-23,한화,7회초,이민우,8 김현준,5 (2-2),중견수 플라이 아웃,무사  3:4,1사  3:4,1.73,0.589,-0.287,73.9%,-0.044
08-08,한화,6회말,김서현,9 김현준,4 (1-2),낫아웃 삼진,2사 1루 4:3,이닝종료 4:3,1.49,0.240,-0.240,30.5%,-0.042
04-21,한화,4회초,산체스,7 김현준,4 (1-2),헛스윙 삼진,"2사 1,2루 0:3",이닝종료 0:3,1.58,0.498,-0.498,86.4%,-0.041
08-02,SSG,7회말,문승원,6 김현준,6 (3-2),헛스윙 삼진,무사  3:1,1사  3:1,1.54,0.592,-0.287,17.6%,-0.039
05-09,KIA,2회말,네일,9 김현준,4 (1-2),낫아웃 삼진,"2사 1,2루 0:1",이닝종료 0:1,1.47,0.484,-0.484,61.4%,-0.038
04-07,KIA,3회초,양현종,2 김현준,2 (0-1),2루수 땅볼 아웃,1사 2루 1:1,2사 3루 1:1,1.39,0.784,-0.353,51.3%,-0.034
04-07,KIA,1회초,양현종,2 김현준,4 (1-2),우익수 플라이 아웃,무사 1루 0:0,1사 1루 0:0,1.44,0.973,-0.427,49.8%,-0.033
08-06,한화,4회말,바리아,9 김현준,3 (1-1),2루수 땅볼 아웃,무사  4:3,1사  4:3,1.19,0.594,-0.289,39.5%,-0.030
04-07,KIA,5회초,양현종,2 김현준,2 (0-1),우익수 플라이 아웃,무사  3:3,1사  3:3,1.19,0.552,-0.269,53.0%,-0.030
08-07,한화,3회말,류현진,1 김현준,3 (0-2),헛스윙 삼진,무사 1루 4:0,1사 1루 4:0,1.32,1.046,-0.463,16.1%,-0.030
08-08,한화,9회말,주현상,9 김현준,2 (0-1),1루수 땅볼 아웃,1사  6:4,2사  6:4,1.19,0.307,-0.187,1.5%,-0.030
08-06,한화,2회말,바리아,9 김현준,3 (0-2),좌익수 플라이 아웃,무사 1루 1:2,1사 1루 1:2,1.26,1.041,-0.457,65.9%,-0.029
05-31,한화,6회말,박상원,9 김현준,6 (2-2),헛스윙 삼진,1사  5:4,2사  5:4,1.15,0.298,-0.178,32.4%,-0.029
04-16,두산,5회말,홍건희,7 김현준,6 (3-2),헛스윙 삼진,2사 만루 2:5,이닝종료 2:5,1.12,0.914,-0.914,86.7%,-0.028
08-02,SSG,2회말,엘리아스,6 김현준,3 (0-2),선행주자아웃 출루,1사 1루 3:0,2사 1루 3:0,1.16,0.581,-0.345,22.3%,-0.028
04-14,NC,3회말,이재학,8 김현준,1 (0-0),유격수 땅볼 아웃,무사  1:0,1사  1:0,1.08,0.563,-0.268,40.7%,-0.027
07-26,KT,7회말,엄상백,2 김현준,4 (0-2),중견수 플라이 아웃,무사  4:1,1사  4:1,1.07,0.588,-0.288,9.6%,-0.027
05-25,롯데,3회초,김진욱,9 김현준,4 (2-1),중견수 플라이 아웃,1사 1루 0:3,2사 1루 0:3,1.11,0.547,-0.306,82.3%,-0.027
07-20,롯데,3회말,이인복,8 김현준,6 (3-2),2루수 땅볼 아웃,무사  3:1,1사  3:1,1.05,0.588,-0.286,29.7%,-0.027
