Date,Team,Inning,Pitcher,Batter,BC,Result,Prev,Next,LEV,REs,REa,WPe,WPa
05-08,KIA,10회말,전상현,2 류지혁,5 (3-1),우익수 플라이 아웃,2사 만루 2:2,이닝종료 2:2,6.39,0.806,-0.806,50.0%,-0.159
05-31,한화,5회말,박상원,7 류지혁,5 (1-2),헛스윙 삼진,2사 만루 5:4,이닝종료 5:4,4.38,0.912,-0.912,33.7%,-0.111
03-23,KT,8회초,손동현,7 류지혁,2 (0-1),좌익수 플라이 아웃,"2사 1,3루 2:2",이닝종료 2:2,3.88,0.541,-0.541,60.7%,-0.107
07-23,한화,9회초,주현상,2 류지혁,5 (2-2),2루수 땅볼 아웃,1사 2루 5:6,2사 3루 5:6,4.05,0.816,-0.388,87.4%,-0.099
06-30,KT,4회초,김민수,5 류지혁,4 (2-1),2루수 병살타 아웃,무사 1루 1:1,2사  1:1,1.76,1.005,-0.887,54.7%,-0.090
05-21,KT,10회말,손동현,5 류지혁,3 (1-1),중견수 플라이 아웃,1사 1루 5:5,2사 1루 5:5,2.92,0.552,-0.313,56.4%,-0.071
05-02,두산,3회초,최원준,5 류지혁,2 (0-1),유격수 플라이 아웃,2사 만루 1:0,이닝종료 1:0,2.76,0.802,-0.802,43.4%,-0.070
06-01,한화,4회말,조동욱,7 류지혁,5 (2-2),헛스윙 삼진,"무사 1,2루 3:3","1사 1,2루 3:3",2.14,1.670,-0.676,60.5%,-0.062
07-24,한화,2회초,류현진,7 류지혁,2 (1-0),선행주자아웃 출루,"무사 1,2루 0:0","1사 1,2루 0:0",1.98,1.673,-0.571,46.0%,-0.055
08-01,LG,1회초,임찬규,8 류지혁,5 (2-2),헛스윙 삼진,2사 만루 2:0,이닝종료 2:0,2.15,0.831,-0.831,34.8%,-0.054
05-30,키움,2회말,이종민,7 류지혁,5 (2-2),유격수 플라이 아웃,1사 3루 0:1,2사 3루 0:1,1.26,1.027,-0.597,64.8%,-0.053
05-23,KT,8회말,김민,5 류지혁,2 (1-0),2루수 병살타 아웃,무사 1루 6:2,2사  6:2,1.17,0.982,-0.866,1.8%,-0.052
07-21,롯데,4회말,반즈,7 류지혁,2 (0-1),좌익수 플라이 아웃,"1사 1,2루 4:1","2사 1,2루 4:1",2.26,1.106,-0.625,20.5%,-0.051
