Date,Team,Inning,Pitcher,Batter,BC,Result,Prev,Next,LEV,REs,REa,WPe,WPa
04-10,NC,8회초,한재승,5 박병호,2 (1-0),3루수 병살타 아웃,"1사 1,3루 1:3",이닝종료 1:3,3.39,1.255,-1.255,94.0%,-0.177
06-02,한화,3회말,문동주,4 박병호,1 (0-0),유격수 병살타 아웃,1사 만루 0:0,이닝종료 0:0,2.77,1.827,-1.827,50.0%,-0.162
06-15,NC,4회초,하트,4 박병호,1 (0-0),3루수 병살타 아웃,"무사 1,2루 0:1",2사 3루 0:1,2.48,1.672,-1.259,64.2%,-0.135
06-30,KT,9회초,박영현,6 박병호,7 (2-2),3루수 플라이 아웃,무사 2루 1:2,1사 2루 1:2,3.82,1.280,-0.475,77.5%,-0.134
06-15,NC,9회초,이용찬,4 박병호,4 (1-2),루킹 삼진,"2사 1,2루 4:4",이닝종료 4:4,4.46,0.507,-0.507,63.7%,-0.114
03-30,한화,7회초,주현상,4 박병호,3 (1-1),3루수 병살타 아웃,"1사 1,3루 3:6",이닝종료 3:6,2.19,1.262,-1.262,94.3%,-0.114
05-10,두산,7회초,김택연,8 박병호,5 (1-2),헛스윙 삼진,"무사 2,3루 3:5","1사 2,3루 3:5",2.82,2.299,-0.703,68.4%,-0.093
03-29,한화,1회초,류현진,4 박병호,5 (2-2),유격수 병살타 아웃,"1사 1,2루 0:0",이닝종료 0:0,1.93,0.974,-0.974,54.8%,-0.086
04-19,롯데,9회초,김원중,5 박병호,5 (2-2),3루수 땅볼 아웃,무사  3:4,1사  3:4,2.87,0.536,-0.262,91.1%,-0.073
04-04,KIA,5회말,이의리,5 박병호,5 (2-2),낫아웃 삼진,"2사 1,2루 3:2",이닝종료 3:2,2.55,0.500,-0.500,33.7%,-0.065
03-29,한화,6회초,류현진,4 박병호,5 (2-2),헛스윙 삼진,"1사 1,2루 0:2","2사 1,2루 0:2",2.87,0.974,-0.483,79.0%,-0.065
07-13,두산,5회초,이영하,7 박병호,4 (1-2),헛스윙 삼진,"1사 1,2루 4:5","2사 1,2루 4:5",2.83,1.091,-0.616,64.9%,-0.064
06-14,NC,7회초,김재열,4 박병호,2 (1-0),우익수 플라이 아웃,"2사 2,3루 5:4",이닝종료 5:4,2.17,0.624,-0.624,36.0%,-0.064
05-03,키움,9회말,문성현,6 박병호,4 (0-2),유격수 플라이 아웃,2사 1루 1:1,이닝종료 1:1,2.30,0.231,-0.231,50.0%,-0.064
04-19,롯데,6회초,반즈,5 박병호,1 (0-0),3루수 병살타 아웃,"1사 1,2루 3:1",이닝종료 3:1,1.38,0.963,-0.963,25.5%,-0.064
04-21,롯데,9회초,김원중,2 박병호,3 (2-0),3루수 땅볼 아웃,무사  9:9,1사  9:9,2.32,0.540,-0.265,55.9%,-0.059
04-11,NC,9회초,임정호,4 박병호,3 (0-2),중견수 플라이 아웃,무사  7:7,1사  7:7,2.32,0.559,-0.269,55.9%,-0.059
05-22,삼성,6회초,코너,6 박병호,3 (0-2),헛스윙 삼진,"2사 1,2루 1:3",이닝종료 1:3,2.27,0.506,-0.506,84.8%,-0.059
04-04,KIA,7회말,최지민,5 박병호,5 (1-2),헛스윙 삼진,"2사 1,3루 6:3",이닝종료 6:3,2.00,0.573,-0.573,6.9%,-0.056
06-30,KT,8회초,김민,9 박병호,5 (2-2),헛스윙 삼진,무사  1:2,1사  1:2,2.16,0.582,-0.278,80.3%,-0.055
05-02,KIA,6회초,네일,6 박병호,2 (1-0),유격수 병살타 아웃,무사 1루 5:3,2사  5:3,1.04,1.002,-0.884,24.6%,-0.055
05-09,NC,3회말,신민혁,6 박병호,2 (1-0),2루수 플라이 아웃,"2사 2,3루 1:2",이닝종료 1:2,1.82,0.631,-0.631,62.5%,-0.054
06-21,두산,2회말,최준호,6 박병호,5 (3-1),유격수 병살타 아웃,1사 1루 0:0,이닝종료 0:0,1.22,0.562,-0.562,50.0%,-0.053
06-26,LG,4회초,엔스,5 박병호,7 (3-2),헛스윙 삼진,"2사 1,2루 0:0",이닝종료 0:0,2.03,0.499,-0.499,56.0%,-0.052
06-06,SSG,3회초,오원석,4 박병호,4 (1-2),헛스윙 삼진,"2사 1,2루 0:1",이닝종료 0:1,1.93,0.506,-0.506,67.1%,-0.050
05-01,KIA,4회초,양현종,5 박병호,5 (1-2),유격수 병살타 아웃,1사 1루 1:4,이닝종료 1:4,1.15,0.563,-0.563,86.4%,-0.049
07-14,두산,5회초,발라조빅,7 박병호,6 (3-2),헛스윙 삼진,무사 1루 0:1,2사  0:1,2.10,1.010,-0.441,63.7%,-0.048
05-08,NC,6회말,카스타노,6 박병호,3 (0-2),루킹 삼진,무사 1루 4:4,1사 1루 4:4,2.07,0.973,-0.426,57.8%,-0.048
05-14,롯데,1회말,반즈,5 박병호,4 (2-1),투수 땅볼 아웃,"2사 2,3루 0:0",이닝종료 0:0,1.74,0.569,-0.569,50.0%,-0.048
05-09,NC,1회말,신민혁,6 박병호,5 (2-2),헛스윙 삼진,"2사 1,3루 1:1",이닝종료 1:1,1.74,0.519,-0.519,50.0%,-0.048
08-02,SSG,6회말,엘리아스,5 박병호,4 (2-1),1루수 땅볼 아웃,2사 2루 3:1,이닝종료 3:1,1.63,0.390,-0.390,18.1%,-0.046
08-07,한화,5회말,류현진,7 박병호,5 (2-2),3루수 땅볼 아웃,1사 2루 6:6,2사 2루 6:6,1.64,0.814,-0.419,54.6%,-0.046
03-28,두산,8회말,김호준,4 박병호,3 (0-2),루킹 삼진,무사  6:6,1사  6:6,1.81,0.535,-0.260,56.1%,-0.046
04-10,NC,7회초,김재열,5 박병호,4 (1-2),헛스윙 삼진,무사  1:2,1사  1:2,1.73,0.531,-0.258,73.9%,-0.044
06-05,SSG,6회초,앤더슨,4 박병호,3 (2-0),포수 파울플라이 아웃,무사 2루 2:5,1사 2루 2:5,1.46,1.279,-0.495,85.1%,-0.044
05-31,한화,5회말,박상원,4 박병호,3 (1-1),좌익수 방면 1루타,1사 1루 5:4,2사 1루 5:4,1.81,0.556,-0.311,37.3%,-0.043
