Date,Team,Inning,Pitcher,Batter,BC,Result,Prev,Next,LEV,REs,REa,WPe,WPa
07-23,한화,9회초,주현상,3 안주형,4 (1-2),헛스윙 삼진,2사 3루 5:6,이닝종료 5:6,4.58,0.429,-0.429,100.0%,-0.126
07-13,두산,5회초,이영하,8 안주형,6 (3-2),헛스윙 삼진,"2사 2,3루 4:5",이닝종료 4:5,2.88,0.642,-0.642,71.0%,-0.085
06-12,LG,7회말,김진수,9 안주형,4 (1-2),루킹 삼진,무사 1루 4:3,1사 1루 4:3,3.09,0.978,-0.418,36.5%,-0.071
07-27,KT,2회말,벤자민,9 안주형,6 (3-2),헛스윙 삼진,"2사 2,3루 0:0",이닝종료 0:0,2.07,0.631,-0.631,50.0%,-0.061
03-28,LG,4회초,손주영,9 안주형,1 (0-0),선행주자아웃 출루,2사 만루 0:4,이닝종료 0:4,2.29,0.927,-0.927,91.5%,-0.059
04-05,KIA,7회초,곽도규,9 안주형,5 (2-2),루킹 삼진,"1사 2,3루 1:5","2사 2,3루 1:5",1.39,1.615,-0.997,93.6%,-0.051
07-28,KT,8회말,김민,6 안주형,2 (0-1),중견수 플라이 아웃,2사 1루 3:3,이닝종료 3:3,1.80,0.234,-0.234,50.0%,-0.050
06-14,NC,5회초,신민혁,9 안주형,1 (0-0),선행주자아웃 출루,무사 1루 2:3,1사 1루 2:3,2.10,0.982,-0.420,63.7%,-0.048
06-11,LG,4회말,이우찬,2 안주형,4 (1-2),낫아웃 다른주자 수비 중 진루,2사 만루 1:3,이닝종료 1:3,1.89,0.857,-0.857,75.5%,-0.048
03-29,SSG,9회말,문승원,7 안주형,4 (1-2),투수 땅볼 아웃,무사  6:4,1사  6:4,1.83,0.536,-0.262,4.4%,-0.047
07-13,두산,4회초,시라카와,8 안주형,4 (1-2),중견수 플라이 아웃,"1사 1,2루 2:5","2사 1,2루 2:5",2.05,1.091,-0.616,82.3%,-0.047
04-06,KIA,3회초,윤영철,7 안주형,5 (2-2),좌익수 플라이 아웃,"2사 2,3루 2:0",이닝종료 2:0,1.55,0.620,-0.620,32.3%,-0.046
06-18,SSG,4회말,앤더슨,8 안주형,5 (2-2),헛스윙 삼진,"2사 1,2루 5:2",이닝종료 5:2,1.77,0.504,-0.504,16.0%,-0.046
07-19,롯데,7회말,한현희,9 안주형,2 (0-1),투수 희생번트 아웃,무사 2루 5:3,1사 3루 5:3,2.33,1.264,-0.217,27.5%,-0.040
06-02,한화,7회말,문동주,8 안주형,4 (1-2),투수 땅볼 아웃,무사  0:0,1사  0:0,1.51,0.567,-0.270,54.9%,-0.039
07-13,두산,2회초,시라카와,8 안주형,1 (0-0),2루수 병살타 아웃,1사 1루 0:4,이닝종료 0:4,0.87,0.569,-0.569,88.1%,-0.037
06-07,키움,2회초,조영건,8 안주형,3 (0-2),헛스윙 삼진,1사 2루 1:1,2사 2루 1:1,1.29,0.784,-0.387,51.7%,-0.036
07-14,두산,7회초,이영하,9 안주형,2 (0-1),1루수 희생번트 아웃,무사 1루 1:2,1사 2루 1:2,2.83,1.010,-0.207,65.9%,-0.034
06-12,LG,5회말,손주영,9 안주형,10 (2-2),투수 땅볼 아웃,무사  4:2,1사  4:2,1.25,0.567,-0.270,25.2%,-0.032
06-04,SSG,6회초,송영진,9 안주형,1 (0-0),투수 희생번트 아웃,무사 1루 0:1,1사 2루 0:1,2.40,0.985,-0.198,63.3%,-0.029
08-08,한화,8회말,한승혁,5 안주형,4 (1-2),루킹 삼진,1사  5:3,2사  5:3,1.15,0.307,-0.187,9.0%,-0.029
06-14,NC,7회초,배재환,9 안주형,4 (1-2),3루수 파울플라이 아웃,1사  4:4,2사  4:4,1.15,0.299,-0.181,56.8%,-0.029
04-04,키움,3회말,후라도,7 안주형,3 (0-2),좌익수 플라이 아웃,무사  2:0,1사  2:0,1.05,0.549,-0.267,29.7%,-0.027
04-05,KIA,3회초,크로우,9 안주형,6 (2-2),3루수 땅볼 아웃,무사  0:1,1사  0:1,1.03,0.550,-0.267,64.0%,-0.026
06-06,SSG,3회초,오원석,9 안주형,5 (2-2),루킹 삼진,무사  0:1,1사  0:1,1.03,0.566,-0.270,64.0%,-0.026
06-14,NC,3회초,신민혁,9 안주형,2 (1-0),우익수 플라이 아웃,무사  1:2,1사  1:2,1.03,0.569,-0.270,64.0%,-0.026
07-19,롯데,3회말,김진욱,9 안주형,1 (0-0),투수 번트 땅볼 아웃,무사  0:0,1사  0:0,0.99,0.585,-0.284,53.0%,-0.025
06-18,SSG,2회말,앤더슨,8 안주형,2 (0-1),선행주자아웃 출루,1사 1루 1:2,2사 1루 1:2,1.04,0.562,-0.324,63.5%,-0.025
05-29,키움,6회말,조상우,9 안주형,3 (0-2),1루수 땅볼 아웃,2사 1루 8:5,이닝종료 8:5,0.86,0.242,-0.242,10.3%,-0.025
06-18,SSG,6회말,앤더슨,8 안주형,4 (1-2),루킹 삼진,2사 1루 5:2,이닝종료 5:2,0.86,0.239,-0.239,10.3%,-0.025
03-31,SSG,5회말,더거,7 안주형,5 (2-2),헛스윙 삼진,1사  3:2,2사  3:2,0.97,0.275,-0.168,35.4%,-0.024
08-02,SSG,5회말,엘리아스,9 안주형,2 (0-1),1루수 땅볼 아웃,2사 1루 3:0,이닝종료 3:0,0.84,0.236,-0.236,13.4%,-0.024
06-02,한화,2회말,문동주,8 안주형,2 (1-0),좌익수 플라이 아웃,2사 1루 0:0,이닝종료 0:0,0.84,0.243,-0.243,50.0%,-0.024
07-26,KT,6회말,엄상백,9 안주형,2 (1-0),3루수 번트 땅볼 아웃,1사  3:1,2사  3:1,0.96,0.301,-0.186,19.6%,-0.024
03-30,SSG,6회말,엘리아스,9 안주형,2 (0-1),선행주자아웃 출루,1사 1루 8:4,2사 1루 8:4,0.96,0.540,-0.314,7.3%,-0.024
03-30,SSG,4회말,엘리아스,9 안주형,6 (3-2),좌익수 플라이 아웃,2사 1루 6:3,이닝종료 6:3,0.81,0.225,-0.225,16.0%,-0.023
06-12,LG,3회말,손주영,9 안주형,1 (0-0),투수 번트 땅볼 아웃,무사  3:0,1사  3:0,0.91,0.567,-0.270,20.8%,-0.023
08-07,한화,5회말,류현진,9 안주형,5 (2-2),헛스윙 삼진,2사 1루 6:7,이닝종료 6:7,0.80,0.240,-0.240,66.3%,-0.023
06-30,KT,5회초,김민수,9 안주형,5 (2-2),2루수 땅볼 아웃,1사  1:1,2사  1:1,0.87,0.304,-0.186,55.2%,-0.022
03-31,SSG,7회말,고효준,7 안주형,4 (1-2),유격수 땅볼 아웃,2사  3:3,이닝종료 3:3,0.81,0.107,-0.107,50.0%,-0.021
06-11,LG,3회말,김유영,2 안주형,4 (1-2),3루수 땅볼 아웃,무사  1:2,1사  1:2,0.80,0.564,-0.268,65.0%,-0.021
07-19,롯데,6회말,김진욱,9 안주형,6 (2-2),루킹 삼진,무사  4:0,1사  4:0,0.74,0.585,-0.284,7.5%,-0.019
