Date,Team,Inning,Pitcher,Batter,BC,Result,Prev,Next,LEV,REs,REa,WPe,WPa
07-03,KIA,8회말,전상현,6 윤정빈,3 (1-1),우익수 플라이 아웃,2사 만루 6:4,이닝종료 6:4,6.05,0.856,-0.856,7.4%,-0.153
08-08,한화,7회말,김범수,2 윤정빈,3 (0-2),선행주자아웃 출루,무사 1루 4:3,1사 1루 4:3,3.09,1.046,-0.463,36.5%,-0.071
06-30,KT,7회초,김민,8 윤정빈,1 (0-0),2루수 땅볼 아웃,2사 2루 1:2,이닝종료 1:2,2.27,0.396,-0.396,79.1%,-0.064
06-19,SSG,6회말,서진용,6 윤정빈,2 (1-0),좌익수 플라이 아웃,"1사 1,2루 2:2","2사 1,2루 2:2",2.78,1.048,-0.545,56.4%,-0.063
06-16,NC,9회초,김영규,8 윤정빈,6 (2-2),헛스윙 삼진,무사  3:3,1사  3:3,2.32,0.569,-0.270,55.9%,-0.059
07-24,한화,9회초,주현상,6 윤정빈,7 (3-2),루킹 삼진,무사  2:2,1사  2:2,2.32,0.589,-0.287,55.9%,-0.059
07-14,두산,5회초,발라조빅,6 윤정빈,6 (3-2),1루주자 윤정빈 : 2루도루실패,무사 1루 0:1,2사  0:1,1.69,0.569,-0.452,69.6%,-0.059
06-27,LG,4회초,이상영,6 윤정빈,2 (0-1),1루수 직선타 아웃,1사 1루 1:0,이닝종료 1:0,1.20,0.560,-0.560,42.5%,-0.052
08-08,한화,7회말,김범수,2 윤정빈,7 (3-2),1루주자 윤정빈 : 2루도루실패,1사 1루 4:3,이닝종료 4:3,1.83,0.240,-0.240,25.2%,-0.052
06-30,KT,5회초,고영표,8 윤정빈,5 (1-2),선행주자아웃 출루,무사 1루 0:1,1사 1루 0:1,2.10,1.005,-0.439,63.7%,-0.048
06-14,NC,2회초,신민혁,6 윤정빈,8 (3-2),헛스윙 삼진,무사 3루 0:2,1사 3루 0:2,1.22,1.403,-0.357,65.9%,-0.048
07-14,두산,6회초,이교훈,6 윤정빈,6 (3-2),루킹 삼진,1사 1루 1:2,2사 1루 1:2,1.94,0.569,-0.340,70.5%,-0.047
06-11,LG,7회말,김진성,8 윤정빈,6 (2-2),헛스윙 삼진,"2사 1,3루 4:5",이닝종료 4:5,1.56,0.540,-0.540,74.8%,-0.043
06-12,LG,2회말,손주영,8 윤정빈,4 (1-2),헛스윙 삼진,2사 3루 2:0,이닝종료 2:0,1.37,0.414,-0.414,28.5%,-0.038
07-12,두산,2회초,곽빈,7 윤정빈,6 (3-2),헛스윙 삼진,무사 1루 1:2,1사 2루 1:2,1.60,1.006,-0.438,60.3%,-0.037
07-23,한화,4회초,바리아,7 윤정빈,7 (3-2),1루주자 김현준 : 이중도루 실패 사이 2루 진루,"무사 1,2루 3:0",2사 2루 3:0,1.07,1.102,-0.875,19.7%,-0.035
06-26,LG,9회초,유영찬,9 윤정빈,8 (3-2),1루수 땅볼 아웃,2사  1:1,이닝종료 1:1,1.32,0.119,-0.119,63.7%,-0.034
06-16,NC,6회초,임정호,8 윤정빈,5 (2-2),헛스윙 삼진,1사 1루 3:2,2사 1루 3:2,1.28,0.561,-0.322,36.6%,-0.031
07-14,두산,2회초,발라조빅,6 윤정빈,6 (2-2),헛스윙 삼진,1사 1루 0:0,2사 1루 0:0,1.23,0.569,-0.340,52.7%,-0.030
06-30,KT,7회초,박시영,7 윤정빈,2 (1-0),우익수 플라이 아웃,1사  1:1,2사  1:1,1.15,0.304,-0.186,56.8%,-0.029
06-12,LG,4회말,손주영,8 윤정빈,3 (0-2),루킹 삼진,2사 1루 4:2,이닝종료 4:2,1.00,0.242,-0.242,24.5%,-0.028
06-30,KT,4회초,김민수,7 윤정빈,3 (1-1),좌익수 플라이 아웃,2사 1루 1:1,이닝종료 1:1,1.00,0.234,-0.234,56.0%,-0.028
07-26,KT,3회말,엄상백,7 윤정빈,4 (1-2),헛스윙 삼진,무사  1:0,1사  1:0,1.08,0.588,-0.288,40.7%,-0.027
07-19,롯데,9회말,구승민,9 윤정빈,1 (0-0),우익수 희생플라이 아웃,"무사 1,3루 10:5",1사 1루 10:6,1.04,1.997,-0.428,1.9%,-0.027
06-23,두산,2회말,김동주,6 윤정빈,4 (1-2),헛스윙 삼진,무사  2:1,1사  2:1,0.99,0.575,-0.272,41.5%,-0.025
07-28,KT,3회말,조이현,8 윤정빈,7 (3-2),좌익수 플라이 아웃,무사  0:0,1사  0:0,0.99,0.586,-0.284,53.0%,-0.025
08-08,한화,2회말,문동주,2 윤정빈,5 (2-2),헛스윙 삼진,2사 2루 2:2,이닝종료 2:2,0.84,0.240,-0.240,50.0%,-0.024
08-06,한화,9회말,주현상,2 윤정빈,4 (0-2),좌익수 플라이 아웃,무사  8:5,1사  8:5,0.91,0.594,-0.289,1.8%,-0.023
06-11,LG,2회말,김유영,8 윤정빈,5 (1-2),헛스윙 삼진,무사 1루 0:2,1사 1루 0:2,0.99,0.970,-0.416,75.1%,-0.023
07-24,한화,4회초,류현진,6 윤정빈,6 (3-2),헛스윙 삼진,무사  1:0,1사  1:0,0.90,0.589,-0.287,39.8%,-0.023
06-18,SSG,2회말,앤더슨,6 윤정빈,1 (0-0),2루수 땅볼 아웃,무사  1:2,1사  1:2,0.77,0.570,-0.270,63.8%,-0.020
07-17,KIA,6회초,이형범,8 윤정빈,7 (3-2),1루수 땅볼 아웃,무사 1루 5:9,1사 2루 5:9,1.18,1.020,-0.207,91.1%,-0.019
06-14,NC,6회초,임정호,6 윤정빈,2 (0-1),우익수 플라이 아웃,1사  4:3,2사  4:3,0.72,0.299,-0.181,38.0%,-0.018
06-30,KT,3회초,고영표,8 윤정빈,4 (1-2),헛스윙 삼진,1사  0:0,2사  0:0,0.72,0.304,-0.186,54.3%,-0.018
06-23,두산,6회말,김유성,9 윤정빈,6 (2-2),헛스윙 삼진,"무사 1,3루 1:4","1사 1,3루 1:4",0.38,1.972,-0.681,93.7%,-0.018
07-12,두산,8회초,김명신,7 윤정빈,7 (1-2),헛스윙 삼진,무사 1루 6:4,1사 1루 6:4,0.75,1.006,-0.438,13.3%,-0.018
06-25,LG,3회초,켈리,7 윤정빈,3 (0-2),2루수 땅볼 아웃,무사  0:4,1사  0:4,0.67,0.575,-0.272,88.0%,-0.017
07-23,한화,6회초,박상원,7 윤정빈,3 (1-1),2루수 땅볼 아웃,2사  3:3,이닝종료 3:3,0.66,0.115,-0.115,57.5%,-0.017
06-27,LG,9회초,김진수,6 윤정빈,2 (1-0),중견수 플라이 아웃,무사  2:1,1사  2:1,0.66,0.580,-0.277,17.9%,-0.017
06-28,KT,9회초,김민,6 윤정빈,2 (1-0),2루수 땅볼 아웃,무사  4:3,1사  4:3,0.66,0.582,-0.277,17.9%,-0.017
