Date,Team,Inning,Pitcher,Batter,BC,Result,Prev,Next,LEV,REs,REa,WPe,WPa
06-30,KT,9회초,박영현,8 이병헌,3 (0-2),2루수 땅볼 아웃,"2사 1,2루 2:2",이닝종료 2:2,4.46,0.493,-0.493,63.7%,-0.114
05-21,KT,9회말,박영현,8 이병헌,11 (3-2),헛스윙 삼진,무사  5:5,1사  5:5,2.26,0.562,-0.269,58.0%,-0.058
04-28,키움,4회초,하영민,8 이병헌,5 (2-2),루킹 삼진,"무사 2,3루 3:2","1사 2,3루 3:2",1.34,2.313,-0.780,28.7%,-0.050
04-24,LG,2회말,켈리,9 이병헌,4 (1-2),3루수 직선타 아웃,1사 2루 0:2,이닝종료 0:2,0.86,0.769,-0.769,71.5%,-0.048
06-08,키움,2회초,후라도,8 이병헌,4 (1-2),헛스윙 삼진,"1사 1,2루 1:3","2사 1,2루 1:3",2.09,0.998,-0.499,70.7%,-0.047
05-11,NC,2회초,김시훈,8 이병헌,8 (2-2),헛스윙 삼진,"1사 1,2루 0:0","2사 1,2루 0:0",2.05,0.996,-0.493,50.7%,-0.047
06-15,NC,5회초,하트,9 이병헌,5 (1-2),헛스윙 삼진,2사 2루 0:1,이닝종료 0:1,1.63,0.399,-0.399,71.0%,-0.046
06-06,SSG,2회초,오원석,8 이병헌,1 (0-0),투수 직선타 아웃,"2사 1,2루 0:1",이닝종료 0:1,1.79,0.506,-0.506,65.8%,-0.046
05-28,키움,2회말,후라도,9 이병헌,7 (2-2),헛스윙 삼진,"2사 1,2루 0:0",이닝종료 0:0,1.74,0.510,-0.510,50.0%,-0.045
05-12,NC,5회초,이재학,8 이병헌,3 (1-1),선행주자아웃 출루,무사 1루 2:2,1사 1루 2:2,1.93,1.036,-0.455,49.7%,-0.045
04-21,한화,7회초,한승혁,9 이병헌,4 (1-2),헛스윙 삼진,무사  2:3,1사  2:3,1.73,0.563,-0.268,73.9%,-0.044
05-16,SSG,7회초,노경은,9 이병헌,3 (0-2),헛스윙 삼진,무사  2:3,1사  2:3,1.73,0.576,-0.274,73.9%,-0.044
06-16,NC,7회초,한재승,4 이병헌,1 (0-0),유격수 플라이 아웃,2사 2루 3:2,이닝종료 3:2,1.38,0.395,-0.395,36.0%,-0.039
06-14,NC,7회초,배재환,8 이병헌,4 (2-1),중견수 플라이 아웃,무사  4:4,1사  4:4,1.54,0.569,-0.270,53.9%,-0.039
05-09,KIA,7회말,곽도규,8 이병헌,7 (3-2),헛스윙 삼진,무사  2:2,1사  2:2,1.51,0.588,-0.288,54.9%,-0.039
07-12,두산,2회초,곽빈,8 이병헌,3 (0-2),좌익수 플라이 아웃,1사 2루 1:2,2사 2루 1:2,1.33,0.802,-0.408,62.3%,-0.037
