Date,Team,Inning,Pitcher,Batter,BC,Result,Prev,Next,LEV,REs,REa,WPe,WPa
04-13,NC,8회말,이용찬,9 이성규,5 (1-2),헛스윙 삼진,2사 만루 4:2,이닝종료 4:2,6.05,0.938,-0.938,7.4%,-0.153
06-30,KT,9회초,박영현,9 이성규,5 (2-2),루킹 삼진,"2사 1,2루 1:2",이닝종료 1:2,5.46,0.493,-0.493,100.0%,-0.141
05-03,롯데,8회말,김상수,3 이성규,8 (2-2),우익수 플라이 아웃,"2사 2,3루 6:6",이닝종료 6:6,3.89,0.642,-0.642,50.0%,-0.114
08-04,SSG,1회말,김광현,5 이성규,5 (2-2),헛스윙 삼진,"1사 1,3루 2:1","2사 1,3루 2:1",1.92,1.308,-0.779,44.6%,-0.069
08-08,한화,1회말,문동주,6 이성규,6 (3-2),헛스윙 삼진,"1사 1,3루 2:2","2사 1,3루 2:2",1.80,1.326,-0.796,54.8%,-0.065
08-07,한화,2회말,류현진,6 이성규,3 (1-1),3루수 병살타 아웃,무사 1루 4:0,2사  4:0,1.27,1.046,-0.926,14.5%,-0.063
06-26,LG,7회초,정우영,8 이성규,3 (0-2),루킹 삼진,2사 2루 0:0,이닝종료 0:0,2.19,0.400,-0.400,58.8%,-0.062
07-26,KT,8회말,김민,9 이성규,2 (0-1),우익수 파울플라이 아웃,"무사 1,2루 4:1","1사 1,3루 4:1",3.25,1.663,-0.357,16.1%,-0.062
03-27,LG,12회초,이우찬,1 이성규,5 (1-2),낫아웃 삼진,무사  2:2,1사  2:2,2.32,0.535,-0.260,55.9%,-0.059
06-01,한화,1회말,조동욱,3 이성규,5 (2-2),루킹 삼진,"무사 1,3루 0:0","1사 1,3루 0:0",1.54,1.893,-0.626,61.3%,-0.058
07-14,두산,6회초,이교훈,5 이성규,6 (2-2),좌익수 플라이 아웃,무사 1루 1:2,1사 1루 1:2,2.40,1.010,-0.441,65.8%,-0.055
04-20,한화,5회초,황준서,9 이성규,1 (0-0),3루수 병살타 아웃,1사 1루 1:0,이닝종료 1:0,1.25,0.552,-0.552,41.2%,-0.055
06-04,SSG,8회초,조병현,6 이성규,7 (3-2),헛스윙 삼진,무사  0:1,1사  0:1,2.16,0.568,-0.271,80.3%,-0.055
05-25,롯데,3회초,김진욱,2 이성규,7 (2-2),헛스윙 삼진,"2사 2,3루 0:3",이닝종료 0:3,1.84,0.602,-0.602,84.3%,-0.055
07-18,KIA,5회초,임기영,5 이성규,7 (3-2),좌익수 플라이 아웃,"2사 1,2루 3:5",이닝종료 3:5,2.09,0.476,-0.476,81.5%,-0.054
06-15,NC,7회초,김영규,1 이성규,2 (0-1),포수 파울플라이 아웃,"무사 1,2루 3:2","1사 1,2루 3:2",1.78,1.672,-0.628,26.6%,-0.053
05-31,한화,5회말,한승혁,3 이성규,4 (1-2),선행주자아웃 출루,무사 1루 5:4,1사 1루 5:4,2.21,0.990,-0.434,41.6%,-0.051
05-21,KT,8회말,박영현,7 이성규,4 (1-2),루킹 삼진,2사 1루 5:5,이닝종료 5:5,1.80,0.240,-0.240,50.0%,-0.050
06-23,두산,3회말,홍건희,6 이성규,2 (0-1),포수 파울플라이 아웃,1사 만루 1:3,2사 만루 1:3,1.66,1.872,-1.050,78.2%,-0.050
07-03,KIA,7회말,장현식,7 이성규,6 (1-2),1루수 파울플라이 아웃,무사  5:4,1사  5:4,1.91,0.580,-0.278,31.1%,-0.049
05-03,롯데,7회말,한현희,3 이성규,4 (1-2),3루수 땅볼 아웃,무사  6:5,1사  6:5,1.91,0.585,-0.284,31.1%,-0.049
07-13,두산,1회초,시라카와,5 이성규,2 (0-1),중견수 플라이 아웃,"2사 1,3루 0:0",이닝종료 0:0,1.73,0.517,-0.517,54.8%,-0.048
06-30,KT,3회초,고영표,2 이성규,6 (2-2),루킹 삼진,"2사 1,2루 0:0",이닝종료 0:0,1.87,0.493,-0.493,55.5%,-0.048
05-28,키움,9회말,주승우,7 이성규,5 (2-2),헛스윙 삼진,무사  4:2,1사  4:2,1.83,0.564,-0.269,4.4%,-0.047
07-03,KIA,9회말,전상현,7 이성규,2 (0-1),중견수 플라이 아웃,무사  6:4,1사  6:4,1.83,0.580,-0.278,4.4%,-0.047
04-21,한화,4회초,산체스,6 이성규,5 (1-2),헛스윙 삼진,"1사 1,2루 0:3","2사 1,2루 0:3",2.05,1.004,-0.506,82.3%,-0.047
05-18,한화,8회말,이민우,9 이성규,5 (2-2),루킹 삼진,무사  8:8,1사  8:8,1.81,0.560,-0.268,56.1%,-0.046
06-23,두산,8회말,김강률,6 이성규,3 (0-2),루킹 삼진,무사  4:4,1사  4:4,1.81,0.579,-0.277,56.1%,-0.046
