Date,Team,Inning,Pitcher,Batter,BC,Result,Prev,Next,LEV,REs,REa,WPe,WPa
07-02,KIA,9회말,전상현,2 이재현,6 (2-2),헛스윙 삼진,"2사 2,3루 4:4",이닝종료 4:4,4.63,0.635,-0.635,50.0%,-0.135
06-26,LG,8회초,김진성,2 이재현,2 (0-1),선행주자아웃 출루,"무사 1,2루 0:1","1사 1,2루 0:1",4.29,1.655,-0.610,65.7%,-0.123
04-20,한화,8회초,장지수,2 이재현,3 (1-1),포수 번트 플라이 아웃,무사 2루 1:0,2사  1:0,1.12,1.287,-1.168,29.2%,-0.104
07-21,롯데,7회말,반즈,2 이재현,11 (3-2),낫아웃 삼진,1사 2루 4:3,2사 2루 4:3,2.70,0.817,-0.420,32.6%,-0.076
05-03,롯데,7회말,최준용,6 이재현,5 (1-2),우익수 플라이 아웃,2사 2루 6:5,이닝종료 6:5,2.63,0.394,-0.394,25.2%,-0.074
04-30,두산,1회초,곽빈,2 이재현,4 (1-2),유격수 병살타 아웃,무사 1루 0:0,2사  0:0,1.44,1.005,-0.887,53.8%,-0.073
07-17,KIA,1회초,양현종,2 이재현,3 (1-1),3루수 병살타 아웃,무사 1루 0:0,2사  0:0,1.44,1.020,-0.903,53.8%,-0.073
07-26,KT,7회말,엄상백,6 이재현,5 (1-2),유격수 땅볼 아웃,"2사 2,3루 4:1",이닝종료 4:1,2.33,0.633,-0.633,6.9%,-0.070
05-16,SSG,8회초,조병현,5 이재현,4 (1-2),루킹 삼진,1사 1루 2:3,2사 1루 2:3,2.90,0.561,-0.325,81.1%,-0.069
08-01,LG,4회초,임찬규,3 이재현,2 (0-1),유격수 병살타 아웃,"1사 1,2루 2:0",이닝종료 2:0,1.49,1.125,-1.125,30.6%,-0.068
07-21,롯데,5회말,반즈,2 이재현,4 (1-2),헛스윙 삼진,"무사 1,2루 4:1","1사 1,2루 4:1",2.57,1.659,-0.553,23.6%,-0.068
08-08,한화,6회말,김서현,7 이재현,5 (1-2),선행주자아웃 출루,무사 1루 4:3,1사 1루 4:3,2.56,1.046,-0.463,39.7%,-0.059
08-01,LG,1회초,임찬규,3 이재현,4 (1-2),루킹 삼진,"무사 1,3루 0:0","1사 1,3루 0:0",1.61,2.038,-0.711,43.5%,-0.059
05-01,두산,5회초,브랜든,2 이재현,4 (1-2),헛스윙 삼진,"2사 1,2루 1:1",이닝종료 1:1,2.24,0.480,-0.480,56.6%,-0.058
05-11,NC,7회초,한재승,5 이재현,5 (3-1),1루수 파울플라이 아웃,"2사 1,3루 3:2",이닝종료 3:2,2.02,0.567,-0.567,36.0%,-0.056
05-10,NC,7회초,하트,5 이재현,4 (1-2),루킹 삼진,1사 1루 0:1,2사 1루 0:1,2.31,0.546,-0.316,74.6%,-0.055
08-01,LG,6회초,백승현,3 이재현,2 (1-0),중견수 플라이 아웃,1사 만루 2:0,2사 만루 2:0,1.77,1.960,-1.129,20.3%,-0.053
08-06,한화,7회말,한승혁,6 이재현,4 (1-2),투수 땅볼 아웃,"2사 1,2루 8:5",이닝종료 8:5,1.94,0.501,-0.501,6.9%,-0.050
04-30,두산,6회초,곽빈,2 이재현,1 (0-0),유격수 플라이 아웃,무사 1루 0:2,1사 1루 0:2,2.13,1.005,-0.439,77.8%,-0.049
08-08,한화,1회말,문동주,7 이재현,3 (0-2),선행주자아웃 출루,"2사 1,3루 2:2",이닝종료 2:2,1.74,0.530,-0.530,50.0%,-0.048
08-02,SSG,1회말,엘리아스,3 이재현,2 (0-1),투수 병살타 아웃,1사 1루 3:0,이닝종료 3:0,1.10,0.581,-0.581,21.8%,-0.047
05-08,KIA,12회말,정해영,7 이재현,4 (1-2),루킹 삼진,무사  4:2,1사  4:2,1.83,0.585,-0.284,4.4%,-0.047
07-31,LG,4회초,손주영,3 이재현,5 (2-2),유격수 파울플라이 아웃,"무사 1,2루 0:4","1사 1,2루 0:4",1.80,1.662,-0.536,84.8%,-0.047
04-27,키움,5회초,후라도,2 이재현,6 (2-2),헛스윙 삼진,1사 2루 0:0,2사 2루 0:0,1.66,0.806,-0.402,52.1%,-0.047
07-04,KIA,8회말,황동하,9 이재현,2 (0-1),1루수 파울플라이 아웃,무사  3:3,1사  3:3,1.81,0.579,-0.278,56.1%,-0.046
07-28,KT,8회말,김민,3 이재현,4 (0-2),헛스윙 삼진,무사  3:3,1사  3:3,1.81,0.586,-0.284,56.1%,-0.046
08-02,SSG,8회말,노경은,3 이재현,4 (1-2),유격수 땅볼 아웃,1사  3:2,2사  3:2,1.85,0.305,-0.187,19.4%,-0.046
04-26,키움,5회초,김인범,2 이재현,4 (1-2),3루수 플라이 아웃,"2사 1,2루 1:0",이닝종료 1:0,1.79,0.481,-0.481,41.2%,-0.046
07-18,KIA,5회초,이형범,2 이재현,3 (0-2),우익수 플라이 아웃,무사 1루 3:5,1사 1루 3:5,1.93,1.022,-0.453,75.1%,-0.044
04-23,LG,6회말,임찬규,2 이재현,4 (1-2),우익수 플라이 아웃,무사 1루 3:0,1사 1루 3:0,1.88,0.962,-0.422,16.2%,-0.043
04-18,두산,1회말,곽빈,2 이재현,8 (3-2),헛스윙 삼진,무사 2루 0:0,1사 2루 0:0,1.20,1.251,-0.486,56.6%,-0.041
04-30,두산,4회초,곽빈,2 이재현,4 (1-2),1루수 플라이 아웃,무사 1루 0:2,1사 1루 0:2,1.79,1.005,-0.439,73.0%,-0.041
06-26,LG,4회초,엔스,2 이재현,10 (1-2),헛스윙 삼진,무사 1루 0:0,1사 2루 0:0,1.76,0.994,-0.433,49.7%,-0.041
04-25,LG,3회말,최원태,2 이재현,2 (1-0),3루수 땅볼 아웃,1사 2루 2:0,2사 2루 2:0,1.45,0.797,-0.402,30.3%,-0.040
06-19,SSG,6회말,오원석,2 이재현,2 (0-1),중견수 플라이 아웃,무사  2:1,1사  2:1,1.57,0.574,-0.272,35.2%,-0.040
07-27,KT,3회말,벤자민,3 이재현,6 (2-2),2루수 플라이 아웃,1사 2루 0:0,2사 2루 0:0,1.38,0.814,-0.421,53.7%,-0.039
06-27,LG,9회초,김진수,8 이재현,2 (0-1),투수 병살타 아웃,1사 1루 2:1,이닝종료 2:1,0.86,0.560,-0.560,20.0%,-0.039
08-06,한화,5회말,박상원,6 이재현,2 (1-0),2루수 플라이 아웃,1사 1루 4:4,2사 1루 4:4,1.56,0.584,-0.345,53.1%,-0.037
08-06,한화,1회말,바리아,6 이재현,5 (2-2),헛스윙 삼진,"1사 1,2루 1:2","2사 1,2루 1:2",1.64,1.123,-0.621,64.2%,-0.037
07-14,두산,3회초,발라조빅,2 이재현,5 (2-2),2루수 땅볼 아웃,2사 2루 0:1,이닝종료 0:1,1.31,0.395,-0.395,67.1%,-0.037
05-16,SSG,6회초,김광현,5 이재현,6 (2-2),유격수 땅볼 아웃,무사  2:3,1사  2:3,1.45,0.576,-0.274,70.0%,-0.037
04-19,한화,3회초,페냐,2 이재현,6 (3-2),헛스윙 삼진,2사 2루 0:0,이닝종료 0:0,1.30,0.394,-0.394,55.5%,-0.037
04-30,두산,7회초,최지강,2 이재현,6 (3-2),중견수 플라이 아웃,"2사 2,3루 0:4",이닝종료 0:4,1.16,0.634,-0.634,97.2%,-0.035
05-02,두산,2회초,최원준,8 이재현,4 (1-2),헛스윙 삼진,2사 3루 1:0,이닝종료 1:0,1.27,0.422,-0.422,44.0%,-0.035
06-30,KT,8회초,김민,2 이재현,3 (0-2),낫아웃 삼진,1사  1:1,2사  1:1,1.39,0.304,-0.186,58.2%,-0.035
06-14,NC,9회초,송명기,2 이재현,7 (3-2),헛스윙 삼진,"무사 1,2루 5:4","1사 1,2루 5:4",1.11,1.672,-0.628,13.8%,-0.034
06-30,KT,3회초,조이현,2 이재현,2 (1-0),우익수 플라이 아웃,1사 2루 1:1,2사 3루 1:1,1.39,0.805,-0.379,51.3%,-0.034
06-26,LG,6회초,엔스,2 이재현,4 (1-2),헛스윙 삼진,무사  0:0,1사  0:0,1.34,0.577,-0.274,53.4%,-0.034
06-30,KT,6회초,박시영,2 이재현,4 (0-2),우익수 플라이 아웃,무사  1:1,1사  1:1,1.34,0.582,-0.278,53.4%,-0.034
05-09,KIA,6회말,네일,5 이재현,6 (2-2),헛스윙 삼진,무사  2:2,1사  2:2,1.32,0.588,-0.288,54.2%,-0.034
08-01,LG,2회초,임찬규,3 이재현,7 (3-2),중견수 플라이 아웃,"1사 1,2루 2:0","2사 1,2루 2:0",1.47,1.125,-0.625,30.4%,-0.034
06-30,KT,1회초,조이현,2 이재현,5 (1-2),중견수 플라이 아웃,무사 1루 0:0,1사 1루 0:0,1.44,1.005,-0.439,49.8%,-0.033
05-01,두산,1회초,브랜든,2 이재현,2 (0-1),선행주자아웃 출루,무사 1루 0:0,1사 1루 0:0,1.44,1.006,-0.442,49.8%,-0.033
04-14,NC,1회말,이재학,2 이재현,6 (3-2),우익수 플라이 아웃,무사 1루 0:0,1사 1루 0:0,1.42,0.980,-0.431,55.0%,-0.033
04-16,두산,1회말,박소준,2 이재현,3 (1-1),선행주자아웃 출루,무사 1루 0:0,1사 1루 0:0,1.42,0.987,-0.433,55.0%,-0.033
04-25,LG,1회말,최원태,2 이재현,5 (2-2),우익수 플라이 아웃,무사 1루 0:0,1사 1루 0:0,1.42,0.977,-0.417,55.0%,-0.033
06-20,SSG,1회말,송영진,2 이재현,3 (1-1),2루수 플라이 아웃,무사 1루 0:0,1사 1루 0:0,1.42,0.993,-0.428,55.0%,-0.033
07-19,롯데,1회말,김진욱,2 이재현,5 (2-2),루킹 삼진,무사 1루 0:0,1사 1루 0:0,1.42,1.022,-0.453,55.0%,-0.033
07-12,두산,6회초,이영하,1 이재현,3 (0-2),헛스윙 삼진,"2사 1,2루 6:4",이닝종료 6:4,1.25,0.474,-0.474,25.5%,-0.032
05-18,한화,7회말,이민우,6 이재현,3 (2-0),선행주자아웃 출루,1사 만루 5:7,2사 만루 5:7,1.06,1.772,-0.834,89.7%,-0.032
07-03,KIA,5회말,알드레드,6 이재현,4 (2-1),중견수 플라이 아웃,무사  3:1,1사  3:1,1.25,0.580,-0.278,25.2%,-0.032
07-17,KIA,6회초,임기영,2 이재현,3 (1-1),3루수 직선타 아웃,"2사 1,3루 5:9",이닝종료 5:9,1.12,0.517,-0.517,95.3%,-0.031
04-27,키움,7회초,김재웅,2 이재현,6 (1-2),루킹 삼진,1사 1루 1:0,2사 1루 1:0,1.29,0.564,-0.326,33.4%,-0.031
05-14,SSG,4회초,오원석,5 이재현,6 (3-2),유격수 땅볼 아웃,"2사 1,2루 0:4",이닝종료 0:4,1.19,0.501,-0.501,91.5%,-0.031
06-19,SSG,4회말,오원석,2 이재현,2 (1-0),3루수 파울플라이 아웃,무사  1:0,1사  1:0,1.19,0.574,-0.272,39.5%,-0.030
05-09,KIA,4회말,네일,5 이재현,4 (2-1),중견수 플라이 아웃,무사  2:1,1사  2:1,1.19,0.588,-0.288,39.5%,-0.030
08-08,한화,4회말,문동주,7 이재현,3 (0-2),좌익수 플라이 아웃,무사  3:2,1사  3:2,1.19,0.597,-0.291,39.5%,-0.030
07-24,한화,7회초,류현진,2 이재현,6 (2-2),헛스윙 삼진,"2사 1,2루 2:0",이닝종료 2:0,1.14,0.481,-0.481,21.5%,-0.029
04-23,LG,4회말,임찬규,2 이재현,6 (2-2),헛스윙 삼진,무사  2:0,1사  2:0,1.13,0.540,-0.265,27.7%,-0.029
07-23,한화,4회초,바리아,9 이재현,7 (3-2),헛스윙 삼진,"무사 1,2루 3:0",2사 2루 3:0,0.96,1.673,-0.571,16.2%,-0.028
