Date,Team,Inning,Pitcher,Batter,BC,Result,Prev,Next,LEV,REs,REa,WPe,WPa
03-23,KT,4회초,쿠에바스,8 전병우,4 (1-2),루킹 삼진,2사 만루 1:1,이닝종료 1:1,3.48,0.937,0.063,56.0%,-0.088
06-30,KT,5회초,고영표,9 전병우,1 (0-0),3루수 병살타 아웃,1사 1루 0:1,이닝종료 0:1,1.69,0.566,-0.566,71.0%,-0.073
06-21,두산,3회말,최준호,9 전병우,5 (1-2),헛스윙 삼진,"무사 1,2루 1:0","1사 1,2루 1:0",2.32,1.662,-0.610,48.1%,-0.065
06-26,LG,5회초,엔스,9 전병우,2 (0-1),중견수 플라이 아웃,"1사 1,2루 0:0","2사 1,2루 0:0",2.58,1.045,-0.546,50.9%,-0.059
03-24,KT,1회초,엄상백,8 전병우,6 (2-2),헛스윙 삼진,2사 만루 2:0,이닝종료 2:0,2.15,0.937,-0.937,34.8%,-0.054
06-15,NC,5회초,하트,8 전병우,8 (3-2),헛스윙 삼진,1사 2루 0:1,2사 2루 0:1,1.77,0.796,-0.397,66.4%,-0.050
06-16,NC,9회초,김영규,9 전병우,6 (3-2),헛스윙 삼진,1사  3:3,2사  3:3,1.80,0.300,-0.181,60.4%,-0.045
06-12,LG,6회말,김진성,7 전병우,4 (1-2),1루수 파울플라이 아웃,2사 1루 4:3,이닝종료 4:3,1.49,0.242,-0.242,30.5%,-0.042
06-30,KT,7회초,김민,9 전병우,4 (1-2),낫아웃 삼진,2사 1루 1:1,이닝종료 1:1,1.47,0.234,-0.234,58.8%,-0.042
06-12,LG,2회말,손주영,7 전병우,8 (3-2),3루수 땅볼 아웃,1사 2루 2:0,2사 3루 2:0,1.34,0.785,-0.371,32.2%,-0.034
07-04,KIA,4회말,양현종,7 전병우,4 (2-1),선행주자아웃 출루,무사 1루 2:3,1사 1루 2:3,1.33,1.003,-0.438,68.9%,-0.031
05-23,KT,4회말,원상현,8 전병우,2 (0-1),중견수 플라이 아웃,1사 2루 5:1,2사 2루 5:1,1.03,0.793,-0.401,12.4%,-0.029
07-17,KIA,4회초,양현종,8 전병우,5 (3-1),중견수 플라이 아웃,2사 1루 3:3,이닝종료 3:3,1.00,0.229,-0.229,56.0%,-0.028
06-15,NC,3회초,하트,8 전병우,4 (1-2),유격수 땅볼 아웃,무사  0:1,1사  0:1,1.03,0.569,-0.270,64.0%,-0.026
03-24,KT,3회초,엄상백,8 전병우,4 (0-2),헛스윙 삼진,"1사 1,2루 3:0","2사 1,2루 3:0",1.12,0.974,-0.483,20.6%,-0.025
07-03,KIA,7회말,장현식,9 전병우,5 (2-2),헛스윙 삼진,2사  5:4,이닝종료 5:4,0.94,0.118,-0.118,25.2%,-0.024
08-02,SSG,3회말,엘리아스,8 전병우,4 (2-1),좌익수 플라이 아웃,무사  3:0,1사  3:0,0.91,0.592,-0.287,20.8%,-0.023
06-09,키움,3회초,헤이수스,8 전병우,3 (0-2),루킹 삼진,무사  1:0,1사  1:0,0.87,0.563,-0.268,40.8%,-0.022
06-11,LG,2회말,김유영,9 전병우,3 (1-1),우익수 플라이 아웃,1사 1루 0:2,2사 1루 0:2,0.82,0.554,-0.312,73.2%,-0.020
07-17,KIA,3회초,양현종,8 전병우,3 (0-2),루킹 삼진,1사  0:1,2사  0:1,0.73,0.301,-0.184,65.9%,-0.018
07-02,KIA,7회말,최지민,9 전병우,1 (0-0),투수 병살타 아웃,무사 1루 1:4,2사  1:4,0.33,1.004,-0.886,93.4%,-0.017
06-19,SSG,2회말,오원석,6 전병우,3 (0-2),2루수 직선타 아웃,1사  0:0,2사  0:0,0.67,0.302,-0.183,51.1%,-0.017
03-29,SSG,6회말,김광현,6 전병우,6 (2-2),헛스윙 삼진,2사 1루 5:1,이닝종료 5:1,0.56,0.226,-0.226,5.7%,-0.016
06-20,SSG,2회말,송영진,9 전병우,6 (3-2),헛스윙 삼진,무사  0:2,1사  0:2,0.62,0.575,-0.272,73.4%,-0.016
08-01,LG,7회초,백승현,5 전병우,4 (1-2),중견수 플라이 아웃,무사  2:0,1사  2:0,0.60,0.592,-0.287,19.6%,-0.015
05-18,한화,4회말,장시환,8 전병우,6 (3-2),헛스윙 삼진,1사  3:4,2사  3:4,0.61,0.292,-0.175,65.1%,-0.015
07-03,KIA,9회말,전상현,9 전병우,4 (2-1),3루수 직선타 아웃,2사  6:4,이닝종료 6:4,0.56,0.118,-0.118,0.0%,-0.015
07-04,KIA,7회말,황동하,7 전병우,3 (0-2),헛스윙 삼진,1사  2:3,2사  2:3,0.56,0.302,-0.184,75.8%,-0.014
