Inning,Pitcher,Out,Bases,Result
8회,손동현,무사,"1,2루",0
7회,하트,2사,만루,0
9회,박영현,1사,"1,2루",0
7회,한현희,2사,"1,3루",0
6회,곽빈,2사,만루,0
8회,임정호,1사,"1,2루",0
6회,페냐,2사,만루,0
6회,김택연,무사,1루,0
5회,김시훈,2사,"2,3루",0
4회,오원석,1사,만루,0
1회,김호준,1사,"1,2루",0
1회,문동주,무사,만루,0
1회,최원태,2사,만루,0
3회,알드레드,무사,1루,0
11회,이로운,1사,주자없음,0
9회,주승우,1사,주자없음,0
6회,김광현,무사,1루,0
11회,정해영,2사,1루,0
7회,곽도규,무사,1루,0
9회,유영찬,무사,주자없음,0
9회,유영찬,무사,주자없음,0
4회,나균안,1사,"1,2루",0
1회,김진욱,2사,"2,3루",0
10회,최지민,무사,주자없음,0
4회,김진욱,1사,1루,0
6회,백승현,2사,만루,0
8회,김진성,무사,주자없음,0
4회,하트,2사,3루,0
1회,송영진,무사,"1,2루",0
1회,알드레드,1사,"1,2루",0
8회,조병현,무사,주자없음,0
8회,한승혁,무사,주자없음,0
7회,김진성,1사,2루,0
7회,최지민,2사,2루,0
7회,고효준,무사,주자없음,0
1회,반즈,2사,"1,2루",0
5회,엔스,2사,만루,0
3회,벤자민,2사,2루,0
4회,알드레드,1사,1루,0
1회,양현종,2사,3루,0
8회,김재열,1사,2루,0
2회,페냐,무사,1루,0
5회,헤이수스,무사,1루,0
4회,황준서,2사,2루,0
4회,후라도,1사,1루,0
7회,이병헌,무사,주자없음,0
10회,백승현,2사,주자없음,0
3회,조영건,2사,"1,2루",0
9회,주현상,1사,2루,0
2회,임찬규,2사,"1,2루",0
2회,최원준,1사,2루,0
2회,임찬규,1사,1루,0
7회,이민우,2사,만루,0
5회,하트,2사,1루,0
4회,정지헌,무사,1루,0
9회,켈리,무사,1루,0
5회,박상원,무사,주자없음,0
1회,브랜든,2사,2루,0
2회,나균안,무사,1루,0
6회,백승현,2사,2루,0
6회,우규민,1사,주자없음,0
5회,임찬규,무사,주자없음,0
5회,김선기,무사,주자없음,0
5회,후라도,무사,주자없음,0
3회,김인범,무사,주자없음,0
3회,엔스,무사,주자없음,0
7회,임기영,무사,1루,0
2회,알드레드,무사,주자없음,0
2회,이인복,무사,주자없음,0
7회,오석주,2사,2루,0
2회,크로우,무사,주자없음,0
2회,양현종,무사,주자없음,0
2회,엔스,무사,주자없음,0
4회,손주영,1사,1루,0
2회,하트,무사,주자없음,0
2회,이상영,무사,주자없음,0
2회,고영표,무사,주자없음,0
