Inning,Pitcher,Out,Bases,Result
10회,이로운,2사,만루,0
1회,후라도,무사,"1,3루",0
9회,이용찬,1사,"1,2루",0
5회,이교훈,2사,만루,0
4회,이영하,2사,만루,0
3회,엘리아스,무사,만루,0
8회,김진성,1사,"1,2루",0
7회,후라도,2사,2루,0
9회,김원중,무사,주자없음,0
9회,박영현,무사,주자없음,0
7회,곽도규,1사,"1,2루",0
8회,노경은,2사,1루,0
5회,문동주,2사,"1,3루",0
9회,유영찬,2사,1루,0
9회,박영현,2사,1루,0
7회,김범수,1사,1루,0
9회,이용찬,1사,1루,0
5회,김시훈,1사,"1,2루",0
9회,최지민,무사,주자없음,0
11회,정해영,무사,주자없음,0
5회,이재학,2사,"1,2루",0
1회,이종민,무사,"1,3루",0
8회,최지민,1사,1루,0
5회,앤더슨,2사,"1,3루",0
3회,네일,1사,"1,2루",0
1회,엄상백,무사,"2,3루",0
5회,문동주,무사,1루,0
7회,이우찬,2사,"1,2루",0
7회,김영규,1사,"1,3루",0
5회,쿠에바스,2사,2루,0
9회,최민준,1사,주자없음,0
7회,노경은,무사,주자없음,0
4회,엔스,1사,2루,0
3회,손주영,2사,3루,0
3회,김민수,2사,3루,0
6회,켈리,1사,"1,2루",0
5회,나균안,1사,"1,2루",0
3회,곽빈,무사,1루,0
7회,김강률,2사,2루,0
6회,이병헌,2사,1루,0
2회,바리아,2사,"1,2루",0
3회,최원태,2사,2루,0
5회,김광현,1사,1루,0
4회,원상현,2사,"1,2루",0
8회,이민우,1사,주자없음,0
1회,최원태,1사,2루,0
1회,신민혁,1사,2루,0
1회,문동주,1사,2루,0
1회,송영진,1사,2루,0
5회,윌커슨,2사,2루,0
3회,김동주,1사,1루,0
4회,곽빈,1사,1루,0
5회,장지훈,1사,1루,0
3회,황준서,1사,1루,0
6회,장시환,1사,1루,0
1회,후라도,1사,2루,0
1회,이상영,1사,2루,0
4회,켈리,무사,주자없음,0
4회,발라조빅,무사,주자없음,0
1회,나균안,1사,1루,0
1회,하트,1사,1루,0
6회,양현종,1사,2루,0
1회,켈리,1사,1루,0
1회,하트,1사,1루,0
1회,이재학,1사,1루,0
1회,오원석,1사,1루,0
1회,김동주,1사,1루,0
1회,네일,1사,1루,0
4회,쿠에바스,무사,주자없음,0
3회,육청명,무사,주자없음,0
3회,나균안,2사,1루,0
3회,신민혁,2사,1루,0
7회,김재웅,2사,1루,0
9회,홍건희,1사,2루,0
3회,시라카와,1사,"1,2루",0
3회,문동주,무사,주자없음,0
6회,김성민,무사,주자없음,0
4회,앤더슨,무사,주자없음,0
4회,김진욱,무사,주자없음,0
7회,임준섭,2사,2루,0
6회,엔스,1사,주자없음,0
6회,박시영,1사,주자없음,0
7회,조병현,2사,1루,0
3회,켈리,2사,2루,0
6회,후라도,1사,1루,0
4회,김선기,무사,2루,0
1회,황준서,무사,주자없음,0
1회,원상현,무사,주자없음,0
5회,헤이수스,2사,"1,2루",0
1회,류현진,1사,1루,0
3회,조이현,2사,1루,0
5회,쿠에바스,1사,2루,0
8회,노경은,무사,주자없음,0
4회,산체스,무사,주자없음,0
1회,나균안,무사,주자없음,0
1회,김진욱,무사,주자없음,0
1회,반즈,무사,주자없음,0
3회,이재학,1사,1루,0
4회,오원석,1사,주자없음,0
6회,김대유,무사,주자없음,0
7회,노경은,2사,주자없음,0
1회,헤이수스,1사,1루,0
4회,김선기,2사,"1,2루",0
4회,임찬규,1사,주자없음,0
4회,후라도,1사,주자없음,0
3회,켈리,1사,1루,0
4회,황준서,1사,주자없음,0
