Inning,Pitcher,Out,Bases,Result
9회,이용찬,2사,"1,2루",0
8회,최지민,1사,만루,0
8회,김진성,2사,만루,0
8회,한승혁,무사,"2,3루",0
7회,이민우,1사,만루,0
2회,최원태,무사,"1,2루",0
7회,노경은,1사,만루,0
8회,조병현,무사,1루,0
9회,김원중,2사,1루,0
5회,이영하,무사,"1,2루",0
7회,주권,1사,2루,0
6회,김진욱,2사,"1,2루",0
8회,김영규,무사,1루,0
7회,하트,무사,1루,0
8회,김재웅,무사,주자없음,0
4회,손주영,1사,만루,0
4회,브랜든,1사,1루,0
5회,한현희,2사,"1,2루",0
5회,산체스,2사,"1,2루",0
8회,김성민,무사,1루,0
9회,유영찬,무사,주자없음,0
5회,후라도,2사,만루,0
4회,오원석,무사,"1,2루",0
5회,반즈,2사,3루,0
2회,손주영,2사,"1,3루",0
6회,김진성,1사,1루,0
7회,문승원,1사,1루,0
3회,홍건희,2사,만루,0
5회,송영진,무사,1루,0
6회,하트,무사,1루,0
6회,장시환,2사,"1,2루",0
4회,손주영,1사,"1,2루",0
9회,박영현,1사,주자없음,0
8회,장지수,2사,"1,2루",0
1회,바리아,무사,"1,2루",0
6회,이지강,2사,3루,0
8회,김상수,무사,주자없음,0
5회,오원석,1사,1루,0
9회,문승원,무사,1루,0
1회,윤영철,2사,"1,2루",0
6회,더거,무사,주자없음,0
3회,네일,2사,2루,0
7회,장현식,무사,주자없음,0
3회,이종민,2사,"1,2루",0
3회,문동주,1사,2루,0
4회,반즈,무사,1루,0
2회,임찬규,무사,1루,0
8회,고효준,2사,만루,0
2회,손주영,무사,1루,0
7회,이민우,2사,"1,2루",0
1회,후라도,2사,3루,0
5회,곽도규,1사,1루,0
7회,이상규,무사,2루,0
2회,황준서,무사,1루,0
9회,최지민,2사,주자없음,0
6회,앤더슨,1사,2루,0
8회,한두솔,1사,주자없음,0
2회,엘리아스,2사,2루,0
4회,김시훈,1사,1루,0
6회,양현종,무사,주자없음,0
6회,박상원,무사,주자없음,0
11회,최동환,2사,주자없음,0
3회,육청명,1사,1루,0
1회,임찬규,1사,"1,2루",0
5회,쿠에바스,무사,주자없음,0
5회,하트,무사,주자없음,0
5회,엄상백,무사,주자없음,0
1회,송영진,1사,"1,2루",0
6회,켈리,무사,주자없음,0
6회,류진욱,무사,주자없음,0
5회,김민수,2사,"2,3루",0
5회,후라도,2사,1루,0
5회,최원태,무사,주자없음,0
5회,김인범,무사,주자없음,0
5회,엔스,무사,주자없음,0
5회,김대유,2사,"1,2루",0
5회,양현종,무사,주자없음,0
2회,페냐,1사,1루,0
3회,더거,1사,1루,0
1회,바리아,2사,2루,0
4회,엘리아스,1사,2루,0
4회,류현진,무사,"1,2루",0
5회,김상수,무사,주자없음,0
5회,곽빈,무사,주자없음,0
7회,문동주,1사,주자없음,0
7회,정우영,1사,주자없음,0
4회,임찬규,2사,1루,0
1회,김동주,2사,2루,0
7회,김승현,1사,"2,3루",0
7회,김진성,무사,주자없음,0
4회,벤자민,무사,주자없음,0
8회,조상우,무사,1루,0
6회,김성민,2사,1루,0
5회,김진욱,무사,주자없음,0
3회,김시훈,2사,1루,0
3회,엄상백,2사,"1,2루",0
