Inning,Pitcher,Out,Bases,Result
8회,전상현,2사,만루,0
8회,김원중,2사,만루,0
6회,전미르,무사,1루,0
9회,박영현,1사,주자없음,0
4회,하트,1사,"1,2루",0
4회,조동욱,1사,"1,2루",0
7회,최준용,2사,"1,3루",0
5회,헤이수스,1사,"1,2루",0
4회,나균안,무사,1루,0
1회,나균안,2사,"1,2루",0
1회,카스타노,2사,"1,2루",0
7회,김범수,1사,"1,2루",0
1회,양현종,1사,2루,0
7회,장현식,1사,주자없음,0
2회,윌커슨,무사,주자없음,0
5회,양현종,1사,주자없음,0
3회,카스타노,2사,2루,0
6회,이인복,무사,주자없음,0
3회,헤이수스,1사,주자없음,0
9회,전준표,무사,"1,2루",0
6회,김규연,1사,주자없음,0
5회,손주영,2사,주자없음,0
4회,이인복,1사,주자없음,0
1회,나균안,2사,2루,0
2회,조동욱,무사,주자없음,0
8회,김재열,1사,"1,2루",0
8회,김상수,1사,주자없음,0
7회,이병헌,1사,주자없음,0
7회,박진형,무사,1루,0
6회,카스타노,1사,2루,0
7회,김성민,무사,주자없음,0
8회,김범수,1사,주자없음,0
5회,최준호,2사,"1,3루",0
7회,박치국,2사,"1,2루",0
9회,김연주,1사,주자없음,0
3회,나균안,2사,2루,0
9회,강건,무사,주자없음,1
9회,한현희,1사,"1,2루",1
3회,윤영철,2사,1루,1
9회,윤중현,1사,"1,3루",0
6회,나균안,무사,주자없음,1
2회,이인복,무사,주자없음,1
4회,윌커슨,2사,1루,1
5회,윤영철,2사,2루,1
