Inning,Pitcher,Out,Bases,Result
9회,박영현,1사,"1,2루",0
4회,문동주,1사,"1,3루",0
8회,김원중,2사,"1,3루",0
2회,육청명,1사,"1,3루",0
9회,김원중,2사,"1,2루",0
7회,이지강,1사,"1,2루",0
8회,김성민,1사,1루,0
8회,조병현,무사,2루,0
4회,오원석,2사,만루,0
5회,이준영,2사,만루,0
8회,김민,1사,"1,3루",0
9회,유영찬,1사,1루,0
5회,알드레드,1사,"1,2루",0
6회,더거,1사,2루,0
5회,크로우,2사,"1,2루",0
8회,조상우,1사,"1,2루",0
6회,구승민,2사,"1,2루",0
5회,이재학,1사,"1,2루",0
6회,송영진,1사,2루,0
5회,최원준,무사,2루,0
7회,이우찬,무사,"1,2루",0
9회,김원중,1사,주자없음,0
2회,후라도,2사,"1,3루",0
8회,최지강,1사,2루,0
4회,더거,무사,3루,0
8회,김재열,2사,1루,0
5회,신민혁,1사,2루,0
4회,김상수,1사,"1,2루",0
3회,양현종,무사,2루,0
3회,조이현,무사,2루,0
8회,김민,무사,주자없음,0
3회,윌커슨,1사,1루,0
9회,주승우,2사,주자없음,0
5회,김광현,무사,1루,0
4회,한승혁,2사,2루,0
8회,최지민,무사,주자없음,0
8회,노경은,무사,주자없음,0
4회,후라도,2사,"2,3루",0
5회,김시훈,1사,1루,0
3회,발라조빅,1사,2루,0
6회,임찬규,무사,"1,3루",0
2회,바리아,2사,"1,2루",0
2회,류현진,2사,"1,2루",0
7회,이지강,무사,주자없음,0
7회,정우영,무사,주자없음,0
8회,김민,1사,주자없음,0
2회,최원태,2사,3루,0
3회,황준서,무사,1루,0
3회,김인범,2사,2루,0
3회,하트,2사,2루,0
7회,김재웅,무사,1루,0
6회,최원태,무사,주자없음,0
8회,황동하,1사,주자없음,0
3회,하트,1사,1루,0
5회,산체스,1사,2루,0
5회,네일,무사,주자없음,0
9회,박영현,2사,주자없음,0
7회,최지강,1사,"1,2루",0
3회,산체스,1사,1루,0
5회,엔스,1사,"1,2루",0
5회,켈리,1사,2루,0
3회,엘리아스,1사,2루,0
3회,페냐,1사,1루,0
6회,고영표,무사,주자없음,0
7회,노경은,1사,주자없음,0
4회,엄상백,무사,주자없음,0
5회,하트,무사,주자없음,0
4회,송영진,무사,주자없음,0
4회,엔스,무사,주자없음,0
4회,후라도,무사,주자없음,0
3회,네일,무사,주자없음,0
4회,조영건,1사,2루,0
8회,김유영,무사,주자없음,0
2회,앤더슨,2사,2루,0
6회,김상수,2사,1루,0
6회,하트,1사,주자없음,0
3회,양현종,2사,1루,0
4회,임찬규,무사,1루,0
3회,김시훈,무사,주자없음,0
3회,조영건,무사,주자없음,0
3회,김시훈,무사,주자없음,0
3회,브랜든,무사,주자없음,0
3회,후라도,무사,주자없음,0
3회,양현종,무사,주자없음,0
3회,벤자민,무사,주자없음,0
2회,바리아,1사,1루,0
6회,장시환,무사,주자없음,0
4회,알드레드,무사,주자없음,0
4회,성재헌,2사,"1,2루",0
5회,김광현,1사,1루,0
7회,고효준,1사,1루,0
2회,곽빈,2사,1루,0
1회,임찬규,무사,주자없음,0
1회,육청명,무사,주자없음,0
1회,알드레드,무사,주자없음,0
1회,윌커슨,무사,주자없음,0
1회,반즈,무사,주자없음,0
6회,김유성,1사,"1,3루",0
3회,켈리,1사,1루,0
1회,쿠에바스,무사,주자없음,0
1회,켈리,무사,주자없음,0
1회,손주영,무사,주자없음,0
1회,김인범,무사,주자없음,0
1회,크로우,무사,주자없음,0
1회,윤영철,무사,주자없음,0
1회,하트,무사,주자없음,0
1회,김시훈,무사,주자없음,0
1회,윌커슨,무사,주자없음,0
1회,이인복,무사,주자없음,0
1회,송영진,무사,주자없음,0
1회,페냐,무사,주자없음,0
1회,앤더슨,무사,주자없음,0
1회,오원석,무사,주자없음,0
1회,황준서,무사,주자없음,0
1회,산체스,무사,주자없음,0
1회,신민혁,무사,주자없음,0
1회,후라도,무사,주자없음,0
1회,켈리,무사,주자없음,0
1회,김광현,무사,주자없음,0
1회,하영민,무사,주자없음,0
1회,조이현,무사,주자없음,0
1회,고영표,무사,주자없음,0
1회,발라조빅,무사,주자없음,0
1회,최원준,무사,주자없음,0
1회,류현진,무사,주자없음,0
1회,손주영,무사,주자없음,0
1회,이재학,무사,주자없음,0
1회,켈리,무사,주자없음,0
1회,하트,무사,주자없음,0
1회,켈리,무사,주자없음,0
1회,최준호,무사,주자없음,0
1회,김동주,무사,주자없음,0
1회,네일,무사,주자없음,0
1회,양현종,무사,주자없음,0
1회,네일,무사,주자없음,0
1회,엄상백,무사,주자없음,0
1회,벤자민,무사,주자없음,0
1회,조이현,무사,주자없음,0
5회,후라도,무사,1루,0
5회,육청명,1사,주자없음,0
8회,노경은,2사,1루,0
4회,바리아,1사,주자없음,0
3회,김광현,1사,1루,0
3회,이종민,무사,주자없음,0
2회,윌커슨,2사,1루,0
6회,조상우,1사,"1,3루",0
7회,김영규,무사,주자없음,0
7회,이민우,무사,주자없음,0
4회,양현종,2사,1루,0
3회,크로우,1사,주자없음,0
3회,오원석,1사,주자없음,0
3회,신민혁,1사,주자없음,0
3회,후라도,1사,주자없음,0
7회,한승혁,무사,주자없음,0
3회,이인복,무사,주자없음,0
7회,노경은,1사,주자없음,0
5회,앤더슨,1사,주자없음,0
4회,켈리,무사,주자없음,0
5회,류현진,1사,주자없음,0
6회,박치국,1사,1루,0
3회,켈리,무사,주자없음,0
3회,쿠에바스,1사,주자없음,0
1회,반즈,1사,주자없음,0
5회,양현종,1사,주자없음,0
3회,최원준,1사,주자없음,0
5회,윌커슨,1사,주자없음,0
1회,더거,1사,주자없음,0
1회,후라도,1사,주자없음,0
6회,한현희,1사,주자없음,0
6회,페냐,1사,주자없음,0
7회,켈리,무사,주자없음,0
6회,엄상백,2사,주자없음,0
9회,주현상,2사,주자없음,0
5회,김민수,2사,주자없음,0
5회,송영진,무사,주자없음,0
5회,장지훈,무사,주자없음,0
8회,김재열,무사,"1,3루",0
4회,이준영,2사,주자없음,0
3회,나균안,2사,"2,3루",0
8회,김재열,2사,"1,3루",0
3회,황준서,2사,주자없음,0
3회,임찬규,2사,주자없음,0
6회,이병헌,2사,1루,0
2회,송영진,1사,주자없음,0
7회,전사민,1사,주자없음,0
9회,홍건희,1사,1루,0
4회,장시환,2사,주자없음,0
5회,황준서,1사,주자없음,0
