Inning,Pitcher,Out,Bases,Result
9회,임기영,1사,3루,0
5회,오원석,2사,"2,3루",0
9회,이용찬,무사,1루,0
7회,후라도,1사,2루,0
7회,이영하,1사,2루,0
4회,정철원,1사,"1,3루",0
4회,김시훈,1사,1루,0
7회,조병현,무사,1루,0
10회,박진,무사,주자없음,0
8회,김재열,1사,1루,0
5회,엔스,2사,"1,2루",0
3회,신민혁,무사,"1,2루",0
3회,오원석,1사,1루,0
5회,브랜든,무사,2루,0
7회,이민우,1사,1루,0
6회,노경은,2사,2루,0
7회,이민우,2사,만루,0
2회,류현진,1사,"1,2루",0
4회,김광현,2사,3루,0
3회,양현종,2사,"2,3루",0
4회,반즈,2사,"1,2루",0
11회,최동환,1사,주자없음,0
9회,박영현,1사,주자없음,0
5회,하트,무사,1루,0
5회,김범수,무사,1루,0
6회,엘리아스,무사,1루,0
5회,손주영,2사,"1,2루",0
3회,류현진,1사,1루,0
1회,이상영,무사,2루,0
3회,김광현,2사,"2,3루",0
3회,김동주,무사,1루,0
3회,이상영,2사,2루,0
1회,류현진,무사,1루,0
1회,김광현,무사,1루,0
7회,류진욱,무사,주자없음,0
2회,황준서,2사,2루,0
9회,주현상,2사,주자없음,0
3회,엘리아스,2사,3루,0
1회,엔스,무사,1루,0
1회,엘리아스,무사,1루,0
5회,임찬규,2사,2루,0
2회,브랜든,1사,2루,0
5회,육청명,무사,주자없음,0
7회,김진성,2사,2루,0
2회,네일,1사,2루,0
2회,반즈,1사,1루,0
4회,후라도,2사,1루,0
3회,하트,2사,1루,0
3회,앤더슨,무사,주자없음,0
3회,양현종,2사,1루,0
8회,이민우,2사,주자없음,0
8회,황동하,2사,주자없음,0
3회,황준서,2사,1루,0
3회,김광현,무사,주자없음,0
3회,반즈,무사,주자없음,0
6회,김민수,2사,"1,2루",0
3회,오원석,무사,주자없음,0
7회,임정호,무사,주자없음,0
8회,박명근,2사,1루,0
6회,양현종,1사,주자없음,0
5회,황준서,무사,주자없음,0
7회,이인복,1사,2루,0
1회,카스타노,무사,주자없음,0
5회,이인복,1사,2루,0
1회,엔스,무사,주자없음,0
1회,알드레드,무사,주자없음,0
1회,오원석,무사,주자없음,0
1회,브랜든,무사,주자없음,0
1회,신민혁,무사,주자없음,0
5회,임찬규,1사,1루,0
5회,하트,1사,주자없음,0
4회,엔스,1사,주자없음,0
6회,반즈,2사,주자없음,0
8회,김재열,1사,"1,3루",0
7회,최민준,1사,1루,0
3회,임찬규,1사,주자없음,0
2회,조동욱,1사,2루,0
9회,김민,2사,1루,0
6회,배재환,2사,1루,0
3회,후라도,1사,주자없음,0
3회,김진욱,1사,주자없음,0
6회,네일,2사,주자없음,0
4회,윌커슨,무사,주자없음,0
5회,앤더슨,1사,주자없음,0
2회,양현종,1사,주자없음,0
5회,양현종,무사,3루,0
1회,황준서,1사,주자없음,0
1회,알드레드,1사,주자없음,0
4회,원상현,무사,1루,0
2회,나균안,1사,1루,0
1회,윌커슨,1사,주자없음,0
1회,이인복,1사,주자없음,0
1회,손주영,1사,주자없음,0
1회,벤자민,1사,주자없음,0
8회,김민,무사,주자없음,0
6회,박상원,1사,주자없음,0
3회,카스타노,무사,주자없음,0
7회,김영규,1사,주자없음,0
3회,나균안,무사,1루,0
1회,양현종,무사,2루,0
4회,바리아,2사,2루,0
5회,한현희,1사,주자없음,0
3회,이인복,1사,주자없음,0
