Inning,Pitcher,Out,Bases,Result
9회,김원중,1사,"1,2루",0
8회,김원중,1사,"1,2루",0
6회,전미르,2사,"2,3루",0
10회,이로운,1사,"1,2루",0
2회,켈리,1사,"1,2루",0
6회,최준용,1사,3루,0
9회,조병현,무사,주자없음,0
2회,김광현,2사,만루,0
1회,김광현,2사,만루,0
6회,이지강,1사,3루,0
5회,김진욱,무사,만루,0
8회,최지민,무사,1루,0
4회,최원태,1사,1루,0
4회,네일,2사,"1,2루",0
3회,김선기,1사,1루,0
8회,김민,2사,"1,3루",0
7회,반즈,무사,주자없음,0
6회,켈리,2사,"1,2루",0
4회,한승혁,1사,2루,0
7회,이민우,무사,주자없음,0
6회,김서현,2사,1루,0
4회,산체스,2사,"1,2루",0
7회,문승원,무사,주자없음,0
2회,네일,2사,"1,2루",0
3회,양현종,1사,2루,0
1회,양현종,무사,1루,0
4회,바리아,무사,주자없음,0
5회,양현종,무사,주자없음,0
3회,류현진,무사,1루,0
9회,주현상,1사,주자없음,0
2회,바리아,무사,1루,0
6회,박상원,1사,주자없음,0
5회,홍건희,2사,만루,0
2회,엘리아스,1사,1루,0
3회,이재학,무사,주자없음,0
7회,엄상백,무사,주자없음,0
3회,김진욱,1사,1루,0
3회,이인복,무사,주자없음,0
5회,조이현,1사,3루,0
8회,한두솔,2사,주자없음,0
3회,후라도,2사,1루,0
6회,한승혁,1사,주자없음,0
3회,조이현,2사,1루,0
5회,엘리아스,무사,주자없음,0
8회,김진성,2사,주자없음,0
6회,곽도규,무사,주자없음,0
6회,한현희,무사,주자없음,0
8회,구승민,2사,1루,0
8회,한승혁,2사,1루,0
2회,산체스,2사,1루,0
5회,류현진,무사,주자없음,0
6회,이준영,무사,주자없음,0
5회,켈리,1사,주자없음,0
1회,나균안,무사,주자없음,0
1회,더거,무사,주자없음,0
1회,김선기,무사,주자없음,0
1회,후라도,무사,주자없음,0
4회,엄상백,1사,주자없음,0
1회,카스타노,무사,주자없음,0
6회,구승민,1사,1루,0
6회,박상원,무사,주자없음,0
4회,이준영,1사,주자없음,0
3회,한두솔,무사,만루,0
6회,후라도,무사,주자없음,0
4회,윤영철,2사,1루,0
3회,나균안,1사,주자없음,0
1회,김광현,무사,주자없음,0
1회,류현진,무사,주자없음,0
3회,반즈,1사,주자없음,0
2회,카스타노,2사,1루,0
2회,임찬규,무사,주자없음,0
2회,문동주,1사,주자없음,0
1회,크로우,1사,주자없음,0
1회,윤영철,1사,주자없음,0
1회,엄상백,1사,주자없음,0
6회,김서현,2사,주자없음,0
3회,크로우,2사,주자없음,0
3회,엔스,2사,주자없음,0
2회,장시환,무사,주자없음,0
2회,박소준,1사,주자없음,0
2회,알드레드,2사,주자없음,0
3회,박소준,2사,3루,0
7회,주권,2사,2루,0
3회,손주영,2사,주자없음,0
7회,윌커슨,1사,주자없음,0
9회,한재승,1사,1루,0
5회,곽빈,2사,2루,0
6회,김윤하,무사,주자없음,0
5회,카스타노,1사,주자없음,0
8회,주권,2사,주자없음,0
3회,곽빈,2사,주자없음,0
6회,서진용,2사,주자없음,0
6회,임기영,2사,주자없음,0
6회,이준호,1사,주자없음,0
7회,송명기,2사,주자없음,0
9회,박진,무사,주자없음,0
5회,김택형,1사,주자없음,0
8회,최이준,2사,2루,0
7회,김유영,1사,"1,2루",0
8회,박신지,1사,주자없음,0
9회,주현상,2사,주자없음,0
9회,최준용,무사,주자없음,0
9회,이상영,무사,주자없음,0
8회,임준형,무사,주자없음,0
7회,이건욱,무사,1루,0
9회,강건,1사,만루,0
9회,김건국,1사,2루,0
6회,진해수,무사,2루,1
8회,이민석,1사,주자없음,1
8회,장지훈,2사,1루,0
8회,김영준,2사,1루,1
8회,김영현,무사,2루,1
9회,정지헌,1사,주자없음,1
7회,구승민,2사,주자없음,1
8회,송명기,무사,1루,1
8회,김윤하,1사,1루,1
5회,박진,1사,"1,2루",1
8회,이민우,무사,주자없음,1
2회,바리아,2사,주자없음,1
5회,손주영,2사,주자없음,0
6회,성재헌,1사,주자없음,1
4회,이재학,1사,주자없음,1
5회,류현진,1사,주자없음,1
1회,조이현,1사,주자없음,1
4회,임찬규,무사,주자없음,1
4회,박진,무사,주자없음,1
4회,바리아,무사,1루,1
3회,김광현,1사,2루,1
5회,반즈,무사,주자없음,1
5회,벤자민,무사,주자없음,1
5회,나균안,1사,주자없음,1
9회,전상현,1사,"1,3루",1
6회,임찬규,무사,1루,1
7회,김유영,1사,만루,1
6회,더거,1사,주자없음,1
4회,문동주,1사,1루,1
4회,더거,무사,주자없음,1
2회,류현진,2사,"1,2루",1
7회,최지민,1사,1루,1
8회,조병현,무사,1루,1
10회,박영현,1사,만루,1
