Inning,Pitcher,Out,Bases,Result
10회,전상현,2사,만루,0
5회,박상원,2사,만루,0
8회,손동현,2사,"1,3루",0
9회,주현상,1사,2루,0
4회,김민수,무사,1루,0
10회,손동현,1사,1루,0
3회,최원준,2사,만루,0
4회,조동욱,무사,"1,2루",0
2회,류현진,무사,"1,2루",0
1회,임찬규,2사,만루,0
2회,이종민,1사,3루,0
8회,김민,무사,1루,0
4회,반즈,1사,"1,2루",0
6회,김서현,1사,1루,0
1회,후라도,2사,"1,3루",0
9회,주현상,무사,주자없음,0
5회,후라도,2사,"1,2루",0
8회,최지강,2사,3루,0
7회,이민우,2사,1루,0
9회,주현상,1사,주자없음,0
1회,육청명,2사,"1,2루",0
2회,김시훈,무사,2루,0
2회,최원준,무사,2루,0
1회,바리아,무사,2루,0
1회,송영진,2사,"2,3루",0
2회,헤이수스,2사,3루,0
6회,후라도,무사,주자없음,0
7회,문승원,2사,1루,0
7회,김규연,1사,2루,0
5회,하트,1사,1루,0
3회,페냐,무사,1루,0
2회,네일,무사,2루,0
7회,김민,1사,1루,0
1회,바리아,2사,"1,2루",0
6회,박시영,2사,1루,0
7회,장현식,1사,주자없음,0
6회,엄상백,무사,주자없음,0
6회,김서현,무사,주자없음,0
4회,나균안,2사,"1,2루",0
1회,하영민,2사,3루,0
5회,송영진,2사,1루,0
5회,켈리,무사,주자없음,0
8회,김재웅,2사,주자없음,0
6회,김성민,1사,1루,0
5회,오원석,2사,"1,2루",0
9회,전상현,1사,주자없음,0
1회,조이현,2사,2루,0
2회,양현종,1사,1루,0
8회,박명근,1사,1루,0
6회,반즈,1사,주자없음,0
4회,김인범,2사,1루,0
6회,앤더슨,2사,2루,0
4회,후라도,무사,주자없음,0
4회,양현종,무사,주자없음,0
9회,이로운,1사,1루,0
8회,김범수,무사,주자없음,0
3회,임찬규,2사,2루,0
3회,송영진,무사,주자없음,1
3회,발라조빅,무사,주자없음,0
3회,육청명,2사,1루,0
6회,홍건희,1사,주자없음,0
2회,임찬규,2사,1루,0
3회,하트,무사,주자없음,0
3회,고영표,무사,주자없음,0
3회,곽빈,무사,주자없음,0
2회,조영건,무사,주자없음,0
6회,네일,1사,주자없음,0
5회,박상원,무사,주자없음,0
2회,알드레드,무사,주자없음,0
6회,페냐,무사,주자없음,0
2회,문동주,무사,주자없음,0
5회,손주영,무사,주자없음,0
8회,임기영,2사,2루,0
3회,알드레드,2사,1루,0
6회,이형범,1사,2루,0
1회,오원석,무사,주자없음,0
1회,시라카와,무사,주자없음,0
3회,바리아,무사,주자없음,0
4회,네일,1사,주자없음,0
6회,김규연,무사,주자없음,0
2회,이재학,무사,주자없음,0
3회,시라카와,무사,1루,0
7회,김영규,2사,"1,3루",0
8회,김강률,2사,"1,2루",0
6회,서진용,1사,2루,0
4회,최원태,1사,주자없음,0
4회,문동주,1사,주자없음,0
3회,엄상백,1사,주자없음,0
2회,원상현,무사,주자없음,0
1회,이인복,무사,2루,0
3회,엔스,1사,주자없음,0
3회,조이현,1사,주자없음,0
2회,황준서,1사,주자없음,0
6회,조상우,1사,주자없음,0
5회,임찬규,1사,주자없음,0
4회,오원석,무사,주자없음,0
4회,후라도,무사,주자없음,0
3회,손주영,무사,주자없음,0
8회,박정수,1사,주자없음,0
8회,박상원,1사,1루,0
2회,후라도,1사,주자없음,0
2회,김인범,1사,주자없음,0
4회,앤더슨,1사,주자없음,0
4회,류현진,1사,주자없음,0
6회,한두솔,무사,주자없음,0
1회,네일,2사,1루,0
2회,김진욱,1사,주자없음,0
3회,알드레드,1사,주자없음,0
8회,이로운,1사,1루,0
1회,양현종,1사,주자없음,0
4회,켈리,무사,주자없음,0
4회,쿠에바스,무사,주자없음,0
5회,이준호,2사,1루,0
7회,홍건희,무사,주자없음,0
7회,곽빈,무사,주자없음,0
6회,김민수,2사,주자없음,0
2회,쿠에바스,1사,주자없음,0
1회,곽빈,무사,2루,0
2회,나균안,2사,"1,2루",0
4회,황준서,2사,주자없음,0
4회,벤자민,2사,주자없음,0
6회,류진욱,2사,주자없음,0
9회,구승민,1사,1루,0
6회,성재헌,무사,주자없음,0
8회,조상우,무사,1루,0
9회,김범수,2사,2루,0
4회,이재학,1사,주자없음,0
6회,손동현,무사,주자없음,0
7회,오석주,1사,주자없음,0
2회,반즈,2사,주자없음,0
