Inning,Pitcher,Out,Bases,Result
8회,한재승,1사,"1,3루",0
3회,문동주,1사,만루,0
4회,하트,무사,"1,2루",0
9회,박영현,무사,2루,0
9회,이용찬,2사,"1,2루",0
7회,주현상,1사,"1,3루",0
7회,김택연,무사,"2,3루",0
1회,류현진,1사,"1,2루",0
9회,김원중,무사,주자없음,0
5회,이의리,2사,"1,2루",0
6회,류현진,1사,"1,2루",0
5회,이영하,1사,"1,2루",0
7회,김재열,2사,"2,3루",0
9회,문성현,2사,1루,0
6회,반즈,1사,"1,2루",0
9회,김원중,무사,주자없음,0
9회,임정호,무사,주자없음,0
6회,코너,2사,"1,2루",0
7회,최지민,2사,"1,3루",0
8회,김민,무사,주자없음,0
6회,네일,무사,1루,0
3회,신민혁,2사,"2,3루",0
2회,최준호,1사,1루,0
4회,엔스,2사,"1,2루",0
3회,오원석,2사,"1,2루",0
4회,양현종,1사,1루,0
5회,발라조빅,무사,1루,0
6회,카스타노,무사,1루,0
1회,반즈,2사,"2,3루",0
1회,신민혁,2사,"1,3루",0
6회,엘리아스,2사,2루,0
5회,류현진,1사,2루,0
8회,김호준,무사,주자없음,0
7회,김재열,무사,주자없음,0
6회,앤더슨,무사,2루,0
5회,박상원,1사,1루,1
2회,이의리,무사,2루,0
4회,김시훈,무사,1루,0
6회,이병헌,2사,"1,2루",0
6회,손주영,무사,주자없음,0
7회,박시영,무사,주자없음,0
7회,후라도,무사,주자없음,0
6회,이교훈,2사,1루,0
8회,최지강,무사,주자없음,0
5회,신민혁,2사,2루,0
8회,임창민,2사,1루,0
7회,김영규,2사,"1,3루",0
2회,엘리아스,무사,1루,0
5회,곽빈,무사,주자없음,0
5회,오원석,무사,주자없음,0
2회,헤이수스,1사,2루,0
6회,김시훈,무사,주자없음,0
6회,앤더슨,1사,1루,0
8회,노경은,1사,1루,0
6회,문동주,무사,주자없음,0
4회,코너,1사,1루,0
3회,후라도,1사,1루,0
1회,곽빈,2사,2루,0
1회,문동주,2사,2루,0
10회,우강훈,2사,"1,2루",0
1회,앤더슨,2사,2루,0
1회,조영건,2사,2루,0
1회,신민혁,2사,2루,0
7회,노경은,1사,주자없음,0
4회,이의리,무사,주자없음,0
2회,카스타노,1사,1루,0
1회,김시훈,2사,2루,0
4회,신민혁,무사,주자없음,0
4회,헤이수스,1사,1루,0
1회,하영민,2사,2루,0
4회,오원석,1사,1루,0
5회,신민혁,2사,"1,2루",0
3회,장시환,무사,주자없음,0
4회,반즈,무사,주자없음,0
4회,켈리,무사,주자없음,0
6회,조상우,무사,주자없음,0
3회,양현종,무사,주자없음,0
3회,이지강,1사,1루,0
2회,코너,무사,주자없음,0
1회,헤이수스,1사,1루,0
4회,조영건,2사,"1,2루",0
2회,오원석,무사,주자없음,0
3회,김동주,1사,"2,3루",0
8회,한승혁,무사,"1,2루",0
2회,발라조빅,2사,1루,0
2회,페냐,무사,주자없음,0
1회,최원준,2사,3루,0
2회,송영진,무사,주자없음,0
2회,조이현,무사,주자없음,0
7회,류진욱,2사,"1,3루",0
2회,오원석,무사,주자없음,0
2회,양현종,무사,주자없음,0
2회,후라도,무사,주자없음,0
2회,양현종,무사,주자없음,0
8회,김영규,무사,주자없음,0
8회,곽도규,무사,1루,0
3회,곽빈,무사,1루,0
1회,손주영,2사,1루,0
2회,최원태,무사,주자없음,0
1회,하트,2사,1루,0
8회,이민우,2사,1루,0
5회,김동주,무사,주자없음,0
4회,코너,무사,주자없음,0
5회,이우찬,무사,1루,0
5회,최원준,무사,주자없음,0
7회,우강훈,무사,주자없음,0
7회,황동하,무사,주자없음,0
7회,고효준,무사,1루,0
4회,류현진,1사,주자없음,0
4회,나균안,1사,주자없음,0
7회,장현식,2사,2루,0
2회,반즈,1사,주자없음,0
6회,배재환,무사,주자없음,0
6회,이영하,무사,주자없음,0
2회,김시훈,1사,주자없음,0
2회,오원석,1사,주자없음,0
2회,엔스,1사,주자없음,0
7회,이상규,1사,2루,0
2회,네일,무사,주자없음,0
4회,송영진,무사,주자없음,0
2회,손주영,1사,주자없음,0
8회,노경은,1사,주자없음,0
8회,이지강,무사,주자없음,0
4회,김시훈,2사,주자없음,0
4회,반즈,1사,주자없음,0
3회,조영건,1사,주자없음,0
9회,김민,1사,주자없음,0
3회,조동욱,2사,주자없음,0
8회,장민재,1사,"1,2루",0
9회,최지강,무사,주자없음,0
1회,김유영,1사,주자없음,0
2회,이재학,2사,주자없음,0
2회,켈리,2사,주자없음,0
3회,곽빈,2사,주자없음,0
4회,네일,무사,주자없음,0
2회,코너,2사,주자없음,0
4회,엘리아스,2사,주자없음,0
8회,오석주,1사,2루,0
3회,최원준,1사,주자없음,0
1회,이종민,2사,주자없음,0
5회,김선기,무사,주자없음,0
4회,최원태,1사,주자없음,0
3회,앤더슨,2사,주자없음,0
6회,장현식,2사,1루,0
6회,한재승,1사,주자없음,0
6회,레예스,무사,주자없음,0
6회,켈리,무사,주자없음,0
5회,켈리,2사,주자없음,0
7회,김유성,2사,주자없음,0
6회,성재헌,1사,주자없음,0
8회,김유성,1사,주자없음,0
8회,한현희,2사,2루,0
5회,송명기,무사,1루,0
9회,이준호,1사,2루,0
9회,이민우,2사,주자없음,0
3회,카스타노,1사,주자없음,0
8회,켈리,2사,주자없음,0
8회,김사윤,1사,"1,2루",0
7회,박윤성,2사,주자없음,0
7회,조상우,2사,주자없음,0
7회,배재환,무사,주자없음,0
7회,문성현,1사,1루,0
9회,박치국,2사,1루,0
8회,서의태,2사,주자없음,0
7회,장민재,1사,1루,0
9회,양현종,1사,"1,2루",0
8회,이재익,1사,"1,3루",0
8회,한두솔,1사,주자없음,0
7회,양현종,2사,주자없음,0
8회,이영하,2사,주자없음,0
7회,우강훈,무사,2루,0
8회,김범수,무사,주자없음,0
9회,이태양,1사,"1,2루",0
9회,김연주,2사,주자없음,0
9회,김사윤,1사,주자없음,0
7회,이건욱,1사,만루,1
8회,전루건,1사,만루,1
8회,문성현,1사,주자없음,1
4회,이채호,1사,1루,0
8회,문승원,무사,주자없음,1
4회,최준호,2사,주자없음,1
7회,이로운,2사,1루,1
6회,김건국,1사,주자없음,1
4회,조이현,1사,주자없음,1
4회,김민수,2사,주자없음,1
2회,곽빈,무사,1루,0
9회,김원중,무사,주자없음,1
4회,헤이수스,1사,주자없음,1
4회,손주영,1사,주자없음,1
7회,오석주,무사,주자없음,1
8회,이로운,무사,주자없음,1
3회,하영민,1사,1루,1
5회,하영민,1사,3루,1
9회,정철원,1사,주자없음,1
2회,네일,1사,주자없음,1
6회,김기중,무사,주자없음,1
6회,이형범,무사,주자없음,1
1회,김규연,1사,1루,1
4회,레예스,무사,주자없음,1
2회,후라도,무사,주자없음,1
2회,나균안,1사,1루,1
4회,류현진,2사,"1,2루",1
7회,김유영,1사,"1,2루",1
9회,문승원,무사,주자없음,1
4회,시라카와,1사,1루,1
7회,박윤성,1사,"1,2루",1
1회,카스타노,1사,2루,1
5회,송영진,무사,주자없음,1
6회,오원석,1사,"1,3루",1
5회,손주영,무사,주자없음,1
2회,켈리,무사,주자없음,1
2회,조이현,2사,주자없음,1
4회,양현종,2사,2루,1
6회,손주영,무사,"1,2루",1
4회,카스타노,무사,주자없음,1
5회,이재학,무사,1루,1
9회,유영찬,무사,1루,1
5회,후라도,무사,주자없음,1
8회,이민우,무사,2루,1
9회,임기영,무사,주자없음,1
1회,조동욱,1사,"1,3루",1
3회,네일,2사,"2,3루",0
6회,후라도,2사,만루,1
6회,김범수,2사,"2,3루",1
9회,박치국,1사,만루,1
