Inning,Pitcher,Out,Bases,Result
9회,주현상,2사,3루,0
5회,이영하,2사,"2,3루",0
7회,김진수,무사,1루,0
2회,벤자민,2사,"2,3루",0
4회,손주영,2사,만루,0
7회,곽도규,1사,"2,3루",0
8회,김민,2사,1루,0
5회,신민혁,무사,1루,0
4회,이우찬,2사,만루,0
9회,문승원,무사,주자없음,0
4회,시라카와,1사,"1,2루",0
3회,윤영철,2사,"2,3루",0
4회,앤더슨,2사,"1,2루",0
7회,문동주,무사,주자없음,0
2회,시라카와,1사,1루,0
2회,조영건,1사,2루,0
5회,손주영,무사,주자없음,0
8회,한승혁,1사,주자없음,0
7회,배재환,1사,주자없음,0
3회,후라도,무사,주자없음,0
3회,크로우,무사,주자없음,0
3회,오원석,무사,주자없음,0
3회,신민혁,무사,주자없음,0
3회,김진욱,무사,주자없음,0
2회,앤더슨,1사,1루,0
6회,조상우,2사,1루,0
6회,앤더슨,2사,1루,0
5회,더거,1사,주자없음,0
5회,엘리아스,2사,1루,0
2회,문동주,2사,1루,0
6회,엄상백,1사,주자없음,0
6회,엘리아스,1사,1루,0
4회,엘리아스,2사,1루,0
3회,손주영,무사,주자없음,0
5회,류현진,2사,1루,0
5회,김민수,1사,주자없음,0
7회,고효준,2사,주자없음,0
3회,김유영,무사,주자없음,0
6회,김진욱,무사,주자없음,0
3회,하트,1사,주자없음,0
6회,성재헌,1사,1루,0
1회,김선기,1사,주자없음,0
9회,문승원,2사,1루,0
5회,문동주,2사,주자없음,0
5회,류현진,무사,주자없음,0
6회,후라도,무사,1루,0
3회,엄상백,2사,주자없음,0
3회,송영진,2사,주자없음,0
7회,노경은,무사,주자없음,0
3회,헤이수스,무사,주자없음,0
3회,헤이수스,2사,주자없음,0
5회,박진,1사,만루,0
7회,황동하,2사,주자없음,0
5회,헤이수스,무사,주자없음,0
4회,김광현,2사,주자없음,0
8회,김윤하,1사,"2,3루",0
3회,켈리,2사,주자없음,0
7회,이상규,2사,1루,0
6회,켈리,2사,주자없음,0
7회,김재웅,2사,주자없음,0
5회,조영건,2사,주자없음,0
9회,정해영,2사,주자없음,0
9회,박정수,무사,주자없음,0
6회,김윤하,1사,주자없음,0
8회,김사윤,1사,주자없음,0
5회,김택형,무사,주자없음,0
8회,김연주,2사,1루,0
9회,손현기,2사,"1,2루",0
9회,최동환,무사,만루,0
6회,진해수,무사,"1,3루",0
8회,이민석,1사,1루,1
8회,장지훈,2사,주자없음,1
7회,이건욱,무사,주자없음,1
7회,김유영,1사,1루,0
8회,김선기,2사,2루,1
8회,전루건,무사,주자없음,1
8회,김영준,2사,"2,3루",1
4회,조영건,무사,주자없음,1
4회,후라도,2사,1루,1
6회,백승현,1사,2루,0
3회,엘리아스,무사,1루,1
3회,류현진,무사,주자없음,1
5회,후라도,1사,주자없음,0
3회,더거,무사,주자없음,1
3회,손주영,무사,주자없음,1
3회,조이현,무사,주자없음,1
3회,엘리아스,1사,주자없음,0
7회,장현식,2사,주자없음,1
5회,문동주,무사,주자없음,1
2회,김광현,2사,3루,1
10회,이로운,무사,주자없음,1
4회,김선기,무사,주자없음,1
9회,전상현,무사,주자없음,1
2회,곽빈,2사,2루,1
2회,후라도,2사,"1,2루",1
8회,김진성,무사,1루,0
