Inning,Pitcher,Out,Bases,Result
8회,전상현,2사,만루,0
7회,김범수,무사,1루,0
7회,김민,2사,2루,0
6회,서진용,1사,"1,2루",0
9회,김영규,무사,주자없음,0
9회,주현상,무사,주자없음,0
5회,발라조빅,무사,1루,0
4회,이상영,1사,1루,0
7회,김범수,1사,1루,0
5회,고영표,무사,1루,0
2회,신민혁,무사,3루,0
6회,이교훈,1사,1루,0
7회,김진성,2사,"1,3루",0
2회,손주영,2사,3루,0
2회,곽빈,무사,1루,0
4회,바리아,무사,"1,2루",0
9회,유영찬,2사,주자없음,0
6회,임정호,1사,1루,0
2회,발라조빅,1사,1루,0
7회,박시영,1사,주자없음,0
4회,손주영,2사,1루,0
4회,김민수,2사,1루,0
3회,엄상백,무사,주자없음,0
2회,김동주,무사,주자없음,0
3회,조이현,무사,주자없음,0
2회,문동주,2사,2루,0
9회,주현상,무사,주자없음,0
2회,김유영,무사,1루,0
4회,류현진,무사,주자없음,0
2회,앤더슨,무사,주자없음,0
6회,이형범,무사,1루,0
6회,임정호,1사,주자없음,0
3회,고영표,1사,주자없음,0
6회,김유성,무사,"1,3루",0
8회,김명신,무사,1루,0
3회,켈리,무사,주자없음,0
6회,박상원,2사,주자없음,0
9회,김진수,무사,주자없음,0
9회,김민,무사,주자없음,0
3회,송영진,2사,1루,0
2회,이상영,1사,주자없음,0
2회,조이현,1사,주자없음,0
2회,조이현,1사,주자없음,0
6회,켈리,무사,주자없음,0
3회,켈리,무사,주자없음,0
7회,이우찬,무사,주자없음,0
4회,정철원,2사,"1,3루",0
2회,바리아,1사,주자없음,0
2회,송영진,1사,1루,0
5회,조이현,무사,주자없음,0
5회,엄상백,2사,주자없음,0
4회,조이현,무사,주자없음,0
2회,신민혁,2사,주자없음,0
7회,한승혁,1사,주자없음,0
7회,김유영,2사,"1,2루",0
3회,신민혁,2사,2루,0
4회,네일,1사,주자없음,0
8회,김유성,무사,주자없음,0
7회,켈리,2사,주자없음,0
7회,주권,무사,주자없음,0
9회,박정수,2사,만루,0
7회,김명신,1사,주자없음,0
6회,이영하,무사,1루,0
7회,배재환,2사,1루,0
9회,황동하,2사,1루,0
8회,김영준,1사,주자없음,0
8회,한두솔,2사,"1,2루",0
7회,최민준,2사,주자없음,0
5회,진해수,2사,2루,0
8회,이민우,무사,2루,0
9회,최동환,무사,주자없음,0
8회,박민호,1사,"1,2루",0
8회,전루건,2사,1루,0
6회,진해수,2사,"1,2루",0
8회,이민석,2사,"1,2루",1
8회,임준형,1사,주자없음,1
9회,오석주,1사,주자없음,1
6회,이건욱,무사,주자없음,1
4회,박진,2사,주자없음,1
8회,곽도규,2사,주자없음,0
7회,이로운,무사,주자없음,1
8회,김명신,무사,1루,1
5회,이준호,2사,주자없음,1
8회,김재열,무사,주자없음,1
6회,백승현,무사,주자없음,1
3회,김동주,2사,주자없음,1
2회,김시훈,2사,주자없음,1
4회,앤더슨,2사,주자없음,1
2회,바리아,2사,1루,0
9회,켈리,무사,주자없음,1
6회,이영하,1사,주자없음,0
3회,한두솔,1사,"1,2루",1
4회,바리아,무사,주자없음,1
8회,노경은,1사,주자없음,1
8회,문승원,무사,주자없음,1
7회,류현진,무사,주자없음,1
8회,김재열,1사,주자없음,1
8회,최지강,1사,주자없음,1
5회,김시훈,무사,주자없음,1
5회,문동주,무사,주자없음,0
1회,바리아,무사,1루,1
7회,김진수,무사,주자없음,1
8회,이병헌,1사,"2,3루",0
1회,송영진,무사,1루,1
1회,임찬규,무사,1루,1
4회,정지헌,2사,2루,1
8회,노경은,1사,주자없음,1
4회,신민혁,2사,주자없음,1
4회,최준호,2사,1루,1
4회,바리아,2사,주자없음,1
8회,김상수,1사,"1,2루",1
5회,켈리,1사,1루,1
8회,한승혁,2사,3루,1
