Inning,Pitcher,Out,Bases,Result
9회,박영현,2사,"1,2루",0
9회,박영현,무사,주자없음,0
4회,하영민,무사,"2,3루",0
2회,켈리,1사,2루,0
2회,후라도,1사,"1,2루",0
2회,김시훈,1사,"1,2루",0
5회,하트,2사,2루,0
2회,오원석,2사,"1,2루",0
2회,후라도,2사,"1,2루",0
5회,이재학,무사,1루,0
7회,한승혁,무사,주자없음,0
7회,노경은,무사,주자없음,0
7회,한재승,2사,2루,0
7회,배재환,무사,주자없음,0
7회,곽도규,무사,주자없음,0
2회,곽빈,1사,2루,0
8회,김재열,2사,2루,0
2회,윤영철,1사,2루,0
6회,문동주,2사,1루,0
5회,후라도,무사,주자없음,0
2회,원상현,2사,"1,2루",0
4회,장지훈,2사,만루,0
5회,김민수,무사,주자없음,0
2회,문동주,1사,1루,0
4회,이준영,무사,주자없음,0
2회,앤더슨,1사,2루,0
3회,최원태,무사,주자없음,0
6회,이재학,2사,2루,0
5회,앤더슨,무사,주자없음,0
5회,앤더슨,무사,주자없음,0
4회,후라도,1사,1루,0
3회,윌커슨,무사,주자없음,0
6회,이영하,1사,1루,0
2회,앤더슨,2사,1루,0
4회,윤영철,무사,주자없음,0
9회,한두솔,무사,1루,0
2회,알드레드,1사,주자없음,0
2회,쿠에바스,2사,1루,0
4회,이채호,1사,1루,0
3회,나균안,1사,2루,0
5회,황준서,무사,주자없음,0
1회,곽빈,2사,2루,0
5회,최원태,2사,주자없음,0
4회,문동주,2사,주자없음,0
11회,손동현,1사,주자없음,0
4회,양현종,1사,주자없음,0
2회,양현종,2사,주자없음,0
2회,신민혁,2사,주자없음,0
2회,조이현,2사,주자없음,0
10회,전상현,무사,2루,0
2회,조이현,2사,주자없음,0
8회,임기영,1사,주자없음,0
5회,켈리,무사,주자없음,0
9회,홍건희,무사,주자없음,0
5회,한현희,2사,주자없음,0
2회,이재학,2사,주자없음,0
9회,고효준,2사,1루,0
6회,박윤성,무사,주자없음,0
7회,구승민,1사,주자없음,0
7회,쿠에바스,2사,주자없음,0
4회,곽빈,무사,주자없음,0
9회,주현상,무사,주자없음,0
6회,임기영,1사,주자없음,0
6회,성재헌,2사,주자없음,0
4회,헤이수스,2사,주자없음,0
6회,홍건희,무사,주자없음,0
3회,류현진,무사,주자없음,0
8회,김선기,1사,2루,0
5회,류현진,무사,주자없음,0
8회,박승주,2사,주자없음,0
6회,김동혁,2사,주자없음,0
8회,박신지,2사,주자없음,0
9회,손현기,1사,1루,0
7회,윤대경,1사,주자없음,0
9회,한재승,2사,주자없음,0
8회,박민호,무사,"1,3루",0
7회,이민석,2사,주자없음,0
9회,장민재,무사,주자없음,1
8회,김사윤,2사,주자없음,1
9회,최현석,무사,주자없음,1
9회,전준표,무사,주자없음,1
8회,김호준,무사,주자없음,1
5회,김명신,1사,주자없음,1
6회,후라도,무사,주자없음,1
3회,김광현,1사,"2,3루",0
8회,최이준,2사,"2,3루",1
2회,하영민,2사,주자없음,1
6회,조상우,2사,주자없음,1
7회,곽빈,1사,주자없음,1
2회,김동주,2사,주자없음,1
3회,헤이수스,무사,주자없음,1
5회,곽빈,2사,1루,1
4회,네일,2사,1루,1
7회,고효준,1사,주자없음,1
3회,곽빈,1사,주자없음,1
3회,김광현,1사,주자없음,1
3회,산체스,1사,주자없음,1
7회,조병현,무사,주자없음,1
5회,산체스,1사,주자없음,1
5회,윌커슨,무사,주자없음,1
5회,문성현,1사,"1,2루",1
5회,김광현,무사,주자없음,1
5회,신민혁,무사,주자없음,1
4회,곽빈,무사,1루,1
8회,김성민,무사,주자없음,1
6회,하트,2사,2루,1
