Inning,Pitcher,Out,Bases,Result
8회,이용찬,2사,만루,0
9회,박영현,2사,"1,2루",0
8회,김상수,2사,"2,3루",0
1회,김광현,1사,"1,3루",0
1회,문동주,1사,"1,3루",0
2회,류현진,무사,1루,0
7회,정우영,2사,2루,0
8회,김민,무사,"1,2루",0
12회,이우찬,무사,주자없음,0
1회,조동욱,무사,"1,3루",0
6회,이교훈,무사,1루,0
5회,황준서,1사,1루,0
8회,조병현,무사,주자없음,0
3회,김진욱,2사,"2,3루",0
5회,임기영,2사,"1,2루",0
7회,김영규,무사,"1,2루",0
5회,한승혁,무사,1루,0
8회,박영현,2사,1루,0
3회,홍건희,1사,만루,0
7회,장현식,무사,주자없음,0
7회,한현희,무사,주자없음,0
1회,시라카와,2사,"1,3루",0
3회,고영표,2사,"1,2루",0
9회,주승우,무사,주자없음,0
9회,전상현,무사,주자없음,0
4회,산체스,1사,"1,2루",0
8회,이민우,무사,주자없음,0
8회,김강률,무사,주자없음,0
9회,유영찬,1사,주자없음,0
7회,김영규,1사,1루,0
1회,알드레드,2사,"1,2루",0
1회,헤이수스,무사,2루,0
4회,손주영,2사,"1,2루",0
5회,송영진,1사,1루,0
8회,노경은,2사,"1,2루",0
6회,반즈,무사,주자없음,0
6회,조병현,2사,만루,0
7회,김규연,2사,2루,0
2회,브랜든,무사,2루,0
3회,하트,1사,2루,0
7회,김강률,1사,2루,0
2회,김광현,2사,"1,2루",0
3회,황준서,무사,1루,0
3회,문동주,2사,2루,0
8회,김재열,2사,2루,0
6회,하트,무사,주자없음,0
6회,한승혁,무사,주자없음,0
1회,나균안,1사,2루,0
6회,양현종,무사,주자없음,0
5회,벤자민,2사,"1,3루",0
2회,후라도,무사,1루,0
5회,최원태,무사,주자없음,0
3회,양현종,1사,1루,0
6회,김광현,1사,1루,0
7회,임기영,1사,1루,0
9회,문승원,1사,주자없음,0
7회,이우찬,2사,"1,2루",0
2회,브랜든,1사,1루,0
2회,이종민,무사,1루,0
6회,후라도,1사,주자없음,0
4회,김시훈,2사,1루,0
4회,문동주,무사,주자없음,0
3회,임찬규,1사,2루,0
6회,앤더슨,무사,주자없음,0
8회,노경은,무사,주자없음,0
3회,임찬규,무사,주자없음,0
8회,김민,2사,주자없음,0
4회,후라도,1사,1루,0
3회,후라도,2사,1루,0
3회,엔스,무사,주자없음,0
6회,이재학,1사,2루,0
6회,문동주,1사,주자없음,0
6회,박상원,1사,주자없음,0
2회,페냐,2사,1루,0
6회,김서현,1사,주자없음,0
11회,손동현,무사,주자없음,0
2회,문동주,무사,주자없음,0
3회,알드레드,무사,주자없음,0
2회,쿠에바스,무사,1루,0
4회,헤이수스,무사,주자없음,0
7회,이병헌,1사,주자없음,0
8회,이로운,무사,1루,0
4회,시라카와,무사,주자없음,0
1회,하트,무사,주자없음,0
4회,윌커슨,2사,1루,0
1회,손주영,무사,주자없음,0
4회,류현진,1사,"1,2루",0
2회,엘리아스,2사,1루,0
5회,오원석,2사,1루,0
2회,최원태,1사,1루,0
6회,고영표,1사,주자없음,0
2회,바리아,무사,주자없음,0
1회,곽빈,2사,1루,0
4회,벤자민,1사,주자없음,0
5회,김광현,무사,주자없음,0
2회,장시환,1사,1루,0
8회,박상원,무사,1루,0
5회,임찬규,2사,1루,0
9회,장민재,2사,1루,0
7회,고효준,무사,주자없음,0
3회,김인범,1사,주자없음,0
3회,조동욱,1사,주자없음,0
3회,엔스,1사,주자없음,0
5회,엘리아스,1사,주자없음,0
5회,김진욱,1사,주자없음,0
5회,엘리아스,1사,주자없음,0
2회,오원석,1사,주자없음,0
8회,김명신,1사,"2,3루",0
2회,양현종,1사,주자없음,0
8회,한승혁,2사,주자없음,0
2회,신민혁,1사,주자없음,0
2회,김진욱,1사,주자없음,0
2회,벤자민,1사,주자없음,0
2회,조이현,1사,주자없음,0
4회,앤더슨,1사,주자없음,0
3회,바리아,2사,1루,0
1회,헤이수스,1사,주자없음,0
2회,김유영,2사,1루,0
7회,홍건희,2사,1루,0
2회,켈리,무사,주자없음,0
3회,손주영,1사,주자없음,0
1회,김진욱,1사,주자없음,0
1회,고영표,1사,주자없음,0
1회,최원준,1사,주자없음,0
1회,엘리아스,1사,주자없음,0
7회,김민수,1사,2루,0
5회,페냐,1사,주자없음,0
2회,김시훈,1사,주자없음,0
2회,윌커슨,1사,주자없음,0
7회,이민우,무사,2루,0
8회,장현식,무사,주자없음,0
4회,발라조빅,2사,주자없음,0
6회,박치국,무사,주자없음,0
5회,박진,무사,"1,3루",0
8회,김영규,2사,주자없음,0
3회,하트,2사,주자없음,0
2회,켈리,1사,주자없음,0
2회,황준서,2사,주자없음,0
2회,이재학,2사,주자없음,0
7회,김영규,2사,1루,0
2회,송영진,2사,주자없음,0
4회,나균안,1사,주자없음,0
4회,조이현,1사,주자없음,0
2회,이인복,2사,주자없음,0
5회,이준호,1사,주자없음,0
4회,박소준,무사,주자없음,0
7회,쿠에바스,무사,주자없음,0
7회,켈리,무사,주자없음,0
8회,김진성,1사,주자없음,0
5회,홍건희,2사,1루,0
6회,우규민,1사,1루,0
1회,앤더슨,2사,주자없음,0
5회,이병헌,2사,주자없음,0
6회,켈리,무사,"2,3루",0
2회,손주영,2사,주자없음,0
4회,쿠에바스,2사,주자없음,0
9회,고효준,무사,주자없음,0
4회,켈리,1사,주자없음,0
7회,박윤성,무사,1루,0
3회,바리아,2사,주자없음,0
8회,주권,무사,주자없음,0
6회,엔스,2사,주자없음,0
7회,이지강,무사,주자없음,0
8회,신영우,1사,주자없음,0
5회,조영건,무사,2루,0
7회,김유성,2사,주자없음,0
9회,김유영,1사,"1,2루",0
9회,김택연,2사,1루,0
3회,곽빈,1사,주자없음,0
8회,김영준,1사,"1,2루",0
10회,박진,2사,주자없음,0
9회,박영현,무사,1루,0
9회,박치국,1사,1루,0
5회,최준호,1사,3루,0
9회,박민호,무사,1루,0
3회,류현진,1사,1루,0
4회,한두솔,1사,주자없음,0
8회,박신지,무사,주자없음,0
9회,김인범,2사,주자없음,0
8회,한두솔,무사,주자없음,0
9회,최동환,무사,1루,0
9회,손현기,무사,주자없음,0
9회,오석주,무사,주자없음,0
9회,최준용,1사,주자없음,0
5회,류현진,2사,주자없음,0
8회,김영현,2사,2루,1
7회,박치국,2사,주자없음,1
9회,최동환,무사,주자없음,0
8회,김서현,무사,주자없음,0
9회,장민재,1사,2루,0
8회,박민호,1사,"1,3루",1
8회,이민석,무사,주자없음,0
8회,전루건,2사,2루,1
9회,정우준,무사,1루,1
8회,한두솔,무사,주자없음,1
8회,김승현,1사,주자없음,1
5회,김선기,2사,주자없음,1
3회,신민혁,2사,주자없음,1
3회,헤이수스,2사,주자없음,1
7회,김성민,1사,주자없음,1
7회,오석주,2사,주자없음,0
7회,최민준,2사,주자없음,1
2회,박소준,2사,주자없음,1
9회,김민,2사,주자없음,1
9회,한재승,무사,주자없음,1
7회,이민우,2사,주자없음,1
8회,김영준,2사,주자없음,1
3회,최준호,1사,주자없음,1
9회,박민호,2사,만루,0
2회,후라도,2사,주자없음,1
2회,산체스,2사,주자없음,1
5회,송명기,2사,3루,1
8회,박승주,1사,주자없음,1
8회,한승혁,1사,"2,3루",0
4회,카스타노,무사,주자없음,1
5회,임찬규,2사,주자없음,1
6회,백승현,1사,1루,1
9회,송명기,무사,주자없음,1
6회,이준호,1사,주자없음,1
6회,서진용,1사,주자없음,1
3회,송영진,무사,1루,1
2회,반즈,1사,주자없음,1
6회,김시훈,1사,주자없음,0
2회,조영건,1사,주자없음,1
2회,바리아,무사,주자없음,1
4회,이종민,무사,주자없음,1
5회,손주영,1사,주자없음,1
5회,알드레드,1사,주자없음,1
2회,앤더슨,무사,3루,1
4회,반즈,1사,1루,1
7회,김진성,1사,주자없음,1
7회,문승원,1사,주자없음,1
5회,켈리,무사,주자없음,1
7회,고효준,무사,주자없음,1
5회,엔스,1사,1루,1
5회,브랜든,무사,주자없음,1
7회,김명신,2사,"1,2루",1
5회,헤이수스,1사,1루,1
1회,김규연,1사,3루,0
5회,류현진,1사,주자없음,1
1회,김유영,무사,주자없음,0
9회,김재열,1사,주자없음,1
6회,김서현,무사,주자없음,1
3회,엘리아스,무사,만루,1
4회,이인복,무사,주자없음,1
7회,이상규,1사,2루,1
7회,김강현,무사,주자없음,1
1회,송영진,2사,"1,3루",1
6회,최지강,무사,만루,1
4회,이재학,1사,주자없음,1
1회,카스타노,1사,"1,3루",1
1회,곽빈,1사,만루,1
6회,하트,무사,주자없음,1
6회,오원석,1사,"1,2루",1
5회,헤이수스,2사,만루,1
6회,박상원,2사,"1,3루",1
5회,황준서,무사,1루,1
3회,곽빈,2사,1루,1
6회,이우찬,1사,만루,1
8회,조병현,2사,2루,1
9회,조병현,1사,주자없음,1
