Inning,Pitcher,Out,Bases,Result
9회,전상현,2사,"2,3루",0
8회,김진성,무사,"1,2루",0
8회,장지수,무사,2루,0
7회,반즈,1사,2루,0
7회,최준용,2사,2루,0
1회,곽빈,무사,1루,0
1회,양현종,무사,1루,0
7회,엄상백,2사,"2,3루",0
8회,조병현,1사,1루,0
4회,임찬규,1사,"1,2루",0
5회,반즈,무사,"1,2루",0
6회,김서현,무사,1루,0
1회,임찬규,무사,"1,3루",0
5회,브랜든,2사,"1,2루",0
7회,한재승,2사,"1,3루",0
7회,하트,1사,1루,0
6회,백승현,1사,만루,0
7회,한승혁,2사,"1,2루",0
6회,곽빈,무사,1루,0
1회,문동주,2사,"1,3루",0
1회,엘리아스,1사,1루,0
12회,정해영,무사,주자없음,0
4회,손주영,무사,"1,2루",0
5회,후라도,1사,2루,0
8회,황동하,무사,주자없음,0
8회,김민,무사,주자없음,0
8회,노경은,1사,주자없음,0
5회,김인범,2사,"1,2루",0
5회,이형범,무사,1루,0
6회,임찬규,무사,1루,0
1회,곽빈,무사,2루,0
4회,곽빈,무사,1루,0
4회,엔스,무사,1루,0
3회,최원태,1사,2루,0
6회,오원석,무사,주자없음,0
3회,벤자민,1사,2루,0
9회,김진수,1사,1루,0
5회,박상원,1사,1루,0
1회,바리아,1사,"1,2루",0
3회,발라조빅,2사,2루,0
6회,김광현,무사,주자없음,0
3회,페냐,2사,2루,0
7회,최지강,2사,"2,3루",0
2회,최원준,2사,3루,0
8회,김민,1사,주자없음,0
9회,송명기,무사,"1,2루",0
3회,조이현,1사,2루,0
6회,엔스,무사,주자없음,0
6회,박시영,무사,주자없음,0
6회,네일,무사,주자없음,0
2회,임찬규,1사,"1,2루",0
1회,조이현,무사,1루,0
1회,브랜든,무사,1루,0
1회,이재학,무사,1루,0
1회,박소준,무사,1루,0
1회,최원태,무사,1루,0
1회,송영진,무사,1루,0
1회,김진욱,무사,1루,0
6회,이영하,2사,"1,2루",0
7회,이민우,1사,만루,0
5회,알드레드,무사,주자없음,0
6회,임기영,2사,"1,3루",0
7회,김재웅,1사,1루,0
4회,오원석,2사,"1,2루",0
4회,오원석,무사,주자없음,0
4회,네일,무사,주자없음,0
4회,문동주,무사,주자없음,0
7회,류현진,2사,"1,2루",0
4회,임찬규,무사,주자없음,0
4회,바리아,무사,"1,2루",0
4회,류현진,2사,"1,3루",0
1회,조이현,1사,1루,0
4회,김인범,무사,주자없음,0
4회,김시훈,무사,주자없음,0
4회,황준서,무사,주자없음,0
3회,조이현,1사,1루,0
3회,산체스,2사,1루,0
6회,엘리아스,1사,1루,0
6회,김택연,2사,1루,0
3회,양현종,무사,주자없음,0
4회,엘리아스,무사,주자없음,0
6회,구승민,2사,"1,3루",0
3회,켈리,1사,2루,0
7회,한현희,2사,주자없음,0
6회,최원태,1사,주자없음,0
7회,윌커슨,2사,"2,3루",0
2회,김광현,무사,주자없음,0
8회,구승민,무사,주자없음,0
3회,네일,무사,1루,0
4회,양현종,무사,주자없음,0
3회,류현진,무사,주자없음,0
5회,엄상백,1사,주자없음,0
5회,양현종,무사,주자없음,0
5회,한현희,무사,주자없음,0
6회,류진욱,1사,주자없음,0
6회,쿠에바스,2사,2루,0
3회,윌커슨,무사,주자없음,0
6회,장민재,1사,2루,0
5회,김상수,1사,주자없음,0
3회,하영민,무사,2루,0
7회,임정호,1사,주자없음,0
3회,최이준,1사,주자없음,0
3회,김시훈,1사,주자없음,0
3회,브랜든,1사,주자없음,0
3회,이재학,무사,주자없음,0
5회,한현희,무사,주자없음,0
2회,류현진,2사,1루,0
6회,김유성,2사,"1,3루",0
5회,이상영,1사,주자없음,0
5회,우규민,2사,3루,0
2회,하트,1사,주자없음,0
2회,하트,1사,주자없음,0
2회,오원석,1사,주자없음,0
2회,고영표,1사,주자없음,0
1회,임찬규,1사,주자없음,0
1회,윌커슨,1사,주자없음,0
1회,반즈,1사,주자없음,0
8회,김유영,1사,주자없음,0
1회,김인범,1사,주자없음,0
1회,페냐,1사,주자없음,0
1회,황준서,1사,주자없음,0
1회,산체스,1사,주자없음,0
1회,켈리,1사,주자없음,0
1회,엔스,1사,주자없음,0
1회,조이현,1사,주자없음,0
1회,발라조빅,1사,주자없음,0
1회,시라카와,1사,주자없음,0
1회,류현진,1사,주자없음,0
1회,켈리,1사,주자없음,0
1회,앤더슨,1사,주자없음,0
1회,최준호,1사,주자없음,0
1회,브랜든,1사,주자없음,0
1회,신민혁,1사,주자없음,0
7회,전사민,무사,주자없음,0
