Inning,Pitcher,Out,Bases,Result
4회,쿠에바스,2사,만루,0
5회,고영표,1사,1루,0
3회,최준호,무사,"1,2루",0
5회,엔스,1사,"1,2루",0
1회,엄상백,2사,만루,0
5회,하트,1사,2루,0
9회,김영규,1사,주자없음,0
6회,김진성,2사,1루,0
7회,김민,2사,1루,0
2회,손주영,1사,2루,0
4회,양현종,무사,1루,0
4회,원상현,1사,2루,0
4회,양현종,2사,1루,0
3회,하트,무사,주자없음,0
3회,엄상백,1사,"1,2루",0
7회,장현식,2사,주자없음,0
3회,엘리아스,무사,주자없음,0
3회,헤이수스,무사,주자없음,0
2회,김유영,1사,1루,0
3회,양현종,1사,주자없음,0
7회,최지민,무사,1루,0
2회,오원석,1사,주자없음,0
6회,김광현,2사,1루,0
2회,송영진,무사,주자없음,0
7회,백승현,무사,주자없음,0
4회,장시환,1사,주자없음,0
9회,전상현,2사,주자없음,0
7회,황동하,1사,주자없음,0
8회,김진성,무사,주자없음,0
4회,신민혁,2사,주자없음,0
6회,윤대경,무사,주자없음,0
1회,조동욱,2사,1루,0
6회,배재환,2사,주자없음,0
3회,엔스,2사,주자없음,0
2회,김진욱,2사,주자없음,0
4회,홍건희,1사,주자없음,0
6회,백승현,무사,1루,0
7회,김민수,무사,주자없음,0
5회,김진욱,2사,주자없음,0
2회,쿠에바스,2사,주자없음,0
3회,알드레드,2사,주자없음,0
5회,최준호,무사,주자없음,0
4회,송영진,2사,주자없음,0
5회,김명신,1사,1루,0
8회,김사윤,2사,1루,0
9회,정지헌,2사,"2,3루",0
8회,김서현,2사,만루,0
7회,김유영,무사,주자없음,0
7회,윤대경,무사,주자없음,0
8회,임준형,2사,2루,0
9회,최동환,무사,1루,1
7회,장지훈,2사,"1,2루",0
8회,김영현,1사,3루,1
6회,이영하,2사,1루,1
7회,성재헌,무사,주자없음,1
9회,박치국,1사,3루,1
8회,김영준,1사,1루,1
3회,고영표,2사,주자없음,1
5회,엘리아스,2사,주자없음,1
5회,김민수,2사,1루,1
2회,양현종,1사,주자없음,1
3회,발라조빅,1사,주자없음,1
4회,손주영,2사,3루,1
5회,알드레드,1사,"1,2루",1
