Inning,Pitcher,Ball Count,Out Count,Runner Situation,Actual Result,Predicted Result
9회,김원중,2-2,1사,"1,2루",0,0
8회,김원중,1-2,1사,"1,2루",0,0
6회,전미르,1-2,2사,"2,3루",0,0
10회,이로운,1-0,1사,"1,2루",0,0
2회,켈리,3-1,1사,"1,2루",0,0
6회,최준용,0-2,1사,3루,0,0
9회,조병현,3-2,무사,주자없음,0,0
2회,김광현,2-2,2사,만루,0,0
1회,김광현,1-2,2사,만루,0,0
6회,이지강,1-1,1사,3루,0,0
5회,김진욱,0-2,무사,만루,0,0
8회,최지민,1-0,무사,1루,0,0
4회,최원태,1-1,1사,1루,0,0
4회,네일,1-2,2사,"1,2루",0,0
3회,김선기,3-1,1사,1루,0,0
8회,김민,0-2,2사,"1,3루",0,0
7회,반즈,0-2,무사,주자없음,0,0
6회,켈리,1-2,2사,"1,2루",0,0
4회,한승혁,2-2,1사,2루,0,0
7회,이민우,2-2,무사,주자없음,0,0
4회,산체스,1-2,2사,"1,2루",0,0
7회,문승원,3-2,무사,주자없음,0,0
2회,네일,1-2,2사,"1,2루",0,0
3회,양현종,0-1,1사,2루,0,0
1회,양현종,1-2,무사,1루,0,0
4회,바리아,1-1,무사,주자없음,0,1
5회,양현종,0-1,무사,주자없음,0,0
3회,류현진,0-2,무사,1루,0,0
2회,바리아,0-2,무사,1루,0,0
6회,박상원,2-2,1사,주자없음,0,0
5회,홍건희,3-2,2사,만루,0,0
2회,엘리아스,0-2,1사,1루,0,0
3회,이재학,0-0,무사,주자없음,0,0
7회,엄상백,0-2,무사,주자없음,0,0
3회,김진욱,2-1,1사,1루,0,0
3회,이인복,3-2,무사,주자없음,0,0
5회,조이현,2-1,1사,3루,0,1
8회,한두솔,3-2,2사,주자없음,0,0
3회,후라도,2-2,2사,1루,0,0
6회,한승혁,2-1,1사,주자없음,0,0
3회,조이현,0-0,2사,1루,0,0
5회,엘리아스,0-0,무사,주자없음,0,0
8회,김진성,1-2,2사,주자없음,0,0
6회,곽도규,0-2,무사,주자없음,0,0
6회,한현희,2-0,무사,주자없음,0,0
8회,구승민,0-2,2사,1루,0,0
8회,한승혁,0-1,2사,1루,0,0
2회,산체스,1-1,2사,1루,0,0
